,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,895.0,-0.02082938414145915,0.005563276724646911,0.002349615324982887
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.Granulocytes,659.0,-0.002953258071969389,0.8265478659599932,0.7429024256867414
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.DCs,642.0,0.001061945668800541,0.6799847164931516,0.8937578173683508
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.Monocytes,689.5,-0.0028504251569136593,0.4669195307659687,0.4973381290793888
Fibroblasts_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,379.5,0.0851438648568513,0.0025233207516040745,0.004036472673322323
Fibroblasts_tumorfront_aggregatedNeighbors.Tumor.proliferating,789.5,-0.010671294086890236,0.3206930261228614,0.06742551972100518
Fibroblasts_tumorfront_aggregatedNeighbors.Vessel,508.0,0.02685935604920739,0.16299489145359686,0.1622985013257089
Fibroblasts_tumorfront_aggregatedNeighbors.Fibroblasts,478.0,0.04715376039392577,0.0682711232443691,0.08143575910498878
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,995.0,-0.019573868901398013,5.095813404767413e-05,2.4304778091071703e-05
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,968.5,-0.03349380405492868,4.940342450819512e-05,9.909767442779945e-05
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,972.0,-0.015012707896491896,3.602127681881315e-05,7.495234239604534e-05
Fibroblasts_tumorfront_aggregatedNeighbors.B.cells,650.0,0.005340017636651709,0.2726207139630565,0.8087458510808033
Fibroblasts_tumorfront_aggregatedNeighbors.CD8.T.cells,758.0,-0.02839712138823202,0.06420196961906997,0.14180528069838555
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,884.0,-0.02500719887820088,0.009667050000131319,0.0035450457000784133
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,804.0,-0.02258501315126648,0.03244298220017012,0.04596761538877494
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,682.0,-0.007388290448259709,0.3098243727274387,0.5521251437420389
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.DCs,632.0,-0.0005731906156734214,0.8813621933683973,0.9861021772456398
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,801.5,-0.011855669319827622,0.02023475897366399,0.04920030508659419
CD4 T cells naive_stromal_aggregatedNeighbors.Tumor.non.proliferating,666.5,0.0020840608028595696,0.09441024444472246,0.5108603558514219
CD4 T cells naive_stromal_aggregatedNeighbors.Vessel,685.0,0.012578793519173015,0.7465900884261414,0.530349410492917
CD4 T cells naive_stromal_aggregatedNeighbors.Fibroblasts,713.0,-0.0047295341784226175,0.8867911844880013,0.34201706148291
CD4 T cells naive_stromal_aggregatedNeighbors.CD4.T.cells.naive,940.0,-0.06958470302528838,0.0001827713005167049,0.00033808351413919496
CD4 T cells naive_stromal_aggregatedNeighbors.CD4.T.cells.memory,964.5,-0.06314227858209075,0.00010421332922356495,0.00011173535399922123
CD4 T cells naive_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,999.0,-0.024089447720836054,0.006300635849660923,1.754315127277202e-05
CD4 T cells naive_stromal_aggregatedNeighbors.B.cells,786.0,-0.007208599709417743,0.6753623200924672,0.06743831645986774
CD4 T cells naive_stromal_aggregatedNeighbors.CD8.T.cells,788.5,-0.028278548611715817,0.309263929600679,0.06760171463453943
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,804.0,-0.019488348041169695,0.10952767161435303,0.04450527670408935
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,758.0,-0.010484896965286455,0.3127259776329435,0.13927077688179543
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.Granulocytes,739.5,-0.0017539070644308763,0.9264299736251901,0.19570615557884286
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.DCs,701.5,-0.002168484802047556,0.2264479658901553,0.3867946101569464
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.Monocytes,780.5,-0.004983499368778944,0.2989871959993945,0.081965082057353
CD4 T cells naive_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,521.5,0.07191509668809631,0.013768757033986376,0.2088858197238751
CD4 T cells naive_tumorfront_aggregatedNeighbors.Tumor.proliferating,797.0,-0.006052250296584981,0.6471311379025975,0.04452598840292359
CD4 T cells naive_tumorfront_aggregatedNeighbors.Vessel,704.0,-0.015498225751519157,0.6539792560212987,0.395114655181775
CD4 T cells naive_tumorfront_aggregatedNeighbors.Fibroblasts,568.0,0.06365490698806753,0.07068876664311137,0.47617959716815716
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,1001.0,-0.06754516693442661,1.136857418201494e-05,4.247555774362725e-06
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,943.5,-0.0759265505827502,0.00046805583699257956,0.00019218603291211296
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,968.0,-0.03468328592686821,0.00013429545313671317,2.461210154485283e-05
CD4 T cells naive_tumorfront_aggregatedNeighbors.B.cells,803.0,-0.004369131726164363,0.6480997087298725,0.017007592068981694
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD8.T.cells,839.0,-0.024470339060083487,0.4795888417613865,0.01363466013798278
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,786.0,-0.021419099403009373,0.20495266546543697,0.06739507039977186
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,815.5,-0.01780820905379423,0.17337746039643362,0.026912762798603745
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,762.0,-0.02099220085639179,0.15917347737548468,0.0863761000790677
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.DCs,727.5,0.004897249193533201,0.5234155729540391,0.19630865884549187
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,868.5,-0.016469920932726267,0.12500868786424615,0.003714381669891023
CD4 T cells memory_stromal_aggregatedNeighbors.Tumor.non.proliferating,568.0,0.0037798063489080124,0.09393754234521726,0.37264497123570295
