,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu
Fibroblasts_tumorfront_E-Cadherin,584.0,0.005791377439338219,0.6976033723908586,0.6480505748555627
Fibroblasts_tumorfront_VEGF,502.0,0.014136796235515614,0.28787598772223366,0.16029357795454868
Fibroblasts_tumorfront_pCREB,437.0,0.14226772937460136,0.11952600863946403,0.031142949761017624
Fibroblasts_tumorfront_pNFkB,504.0,0.04708884897587434,0.1516282647984936,0.16728745825983726
Fibroblasts_tumorfront_GranzymeB,518.0,0.09547446959045702,0.08290082394454798,0.22277405736429834
Fibroblasts_tumorfront_Ki67,604.0,0.007320637006586285,0.37178734158290994,0.821709374303958
Fibroblasts_tumorfront_CD44,785.0,-0.04254223508147564,0.19955764114220426,0.06362782331588263
Fibroblasts_tumorfront_pERK,443.0,0.0848086925375059,0.03814087190328815,0.036987332317646546
Fibroblasts_tumorfront_pMAPKAPK2,505.0,0.051164681598202144,0.17719676368240514,0.17086924147790072
Fibroblasts_tumorfront_pS6,475.0,0.2006362728168909,0.03139994688579256,0.08614305829870078
CD4 T cells naive_stromal_pp38,596.0,0.0035579393019862654,0.6272939881448989,0.750638936025578
CD4 T cells naive_stromal_pSTAT1,627.0,-0.0006583372401020721,0.8622067921668055,0.9769518145176161
CD4 T cells naive_stromal_pSTAT3,513.0,0.006280617597242827,0.3113539410406156,0.20161422400942708
CD4 T cells naive_stromal_CD36,626.0,-0.007850248362289675,0.6552043014245041,0.9861698575424498
CD4 T cells naive_stromal_E-Cadherin,520.0,0.005192020731431102,0.6467253711624266,0.2316683468451184
CD4 T cells naive_stromal_VEGF,476.0,0.017566243225650105,0.1778725739678546,0.08827885404537773
CD4 T cells naive_stromal_pCREB,418.0,0.13047486495470906,0.10373612156435177,0.01755797532141365
CD4 T cells naive_stromal_pNFkB,486.0,0.026354616033373662,0.1637275130223873,0.11206379345459697
CD4 T cells naive_stromal_GranzymeB,493.0,0.10857861486831999,0.10144444829788751,0.13153119777613353
CD4 T cells naive_stromal_Ki67,499.0,0.02199405521763982,0.059839380547710375,0.150220337397209
CD4 T cells naive_stromal_CD44,788.0,-0.13418088701074588,0.023974891993587807,0.05883188541644427
CD4 T cells naive_stromal_pERK,466.0,0.02350842428834886,0.12663145236636572,0.0687422521761526
CD4 T cells naive_stromal_pMAPKAPK2,519.0,0.019123710716656944,0.4835611826831272,0.2271901715283613
CD4 T cells naive_stromal_pS6,351.0,0.24782391621954236,0.0029803437485957382,0.0016378577828357783
CD4 T cells naive_tumorfront_pp38,595.5,0.007414607016015581,0.6168666049535066,0.7462576768759335
CD4 T cells naive_tumorfront_pSTAT1,693.0,-0.006335461306095448,0.3070907892852665,0.4285532484019927
