,Statistic,p-value ttest,p-value mannwhitneyu
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.M1.macrophages,520.5,0.34237652028600307,0.20711501040597635
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.M2.macrophages,652.0,0.3418012997870825,0.7332747862925182
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.Tumor.non.proliferating,639.0,0.2576533567663768,0.8297375215601207
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.Vessel,501.0,0.13894545465950442,0.15147478948638915
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.Bcells,599.5,0.5411074117497592,0.6709586572914916
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,693.0,0.2701378853569197,0.3929049160997282
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,566.5,0.14207706900945452,0.428128358132132
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,760.5,0.0449278491478574,0.06548739072671497
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.CD8.T.cells.memory,822.5,0.03227814427014899,0.01634846559442687
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.CD8.T.cells.naive,640.0,0.9134471950111239,0.8181890679480186
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.DCs,603.0,0.09317450131028807,0.6660958739791532
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.Fibroblasts,622.5,0.5158516031107481,0.9904830187081666
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.Granulocytes,550.0,0.06009890426093382,0.14173308676462326
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.M1.macrophages,561.0,0.4771480921346758,0.4128289476031721
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.M2.macrophages,657.0,0.40405050818756993,0.688921608795046
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.Monocytes,721.5,0.16828138461571054,0.09651759814224342
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,680.5,0.27009913551277537,0.5040036351835566
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.Tumor.proliferating,656.0,0.6234166551528101,0.6266755320065978
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.Vessel,597.0,0.5108352549690107,0.7500724016393253
CD8.T.cells.memory_intratumor_aggregatedNeighbors.CD8.T.cells.memory,761.5,0.048470031038194056,0.10446617845217358
CD8.T.cells.memory_intratumor_aggregatedNeighbors.CD8.T.cells.naive,779.0,0.42298058508866476,0.0506169951484714
CD8.T.cells.memory_intratumor_aggregatedNeighbors.DCs,604.0,0.9199037982026598,0.7633189324399177
CD8.T.cells.memory_intratumor_aggregatedNeighbors.M1.macrophages,648.0,0.9855681580405451,0.7531039632970915
CD8.T.cells.memory_intratumor_aggregatedNeighbors.M2.macrophages,674.0,0.45260724398613383,0.5548825815207612
CD8.T.cells.memory_intratumor_aggregatedNeighbors.Monocytes,702.0,0.16618534492619433,0.27435926610394634
CD8.T.cells.memory_intratumor_aggregatedNeighbors.Tumor.non.proliferating,704.5,0.26004771175421126,0.35447439062451536
CD8.T.cells.memory_intratumor_aggregatedNeighbors.Tumor.proliferating,594.0,0.04746774224796454,0.7229333650835679
CD8.T.cells.memory_stromal_aggregatedNeighbors.Bcells,515.5,0.1407863873837152,0.20938729862617644
CD8.T.cells.memory_stromal_aggregatedNeighbors.CD4.T.cells.memory,675.0,0.4881034840344354,0.5582922765789635
CD8.T.cells.memory_stromal_aggregatedNeighbors.CD4.T.cells.naive,522.5,0.1674791134533109,0.2360541985493284
CD8.T.cells.memory_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,627.5,0.9564324959580135,0.9719796478669648
CD8.T.cells.memory_stromal_aggregatedNeighbors.CD8.T.cells.memory,685.0,0.41924329049117526,0.48385079149558263
CD8.T.cells.memory_stromal_aggregatedNeighbors.CD8.T.cells.naive,653.5,0.9789747840244749,0.736913487243714
CD8.T.cells.memory_stromal_aggregatedNeighbors.Fibroblasts,596.0,0.35950677250239205,0.7505944595623917
