,Fold selected features,Fold nb of features
Fold 56,"['ACP6', 'ADAMTS13', 'ADAMTS15', 'ANGPTL3', 'AOC1', 'APEX1', 'BAIAP2', 'BSG', 'CALB2', 'CAPG', 'CCL20', 'CCL23', 'CCN1', 'CD33', 'CD63', 'CDH2', 'CES2', 'CHIT1', 'CHL1', 'CLEC4G', 'CLPS', 'CPA2', 'CRTAC1', 'CTSF', 'CTSH', 'CTSL', 'CXCL8', 'DKKL1', 'DNER', 'DSG4', 'ECE1', 'EREG', 'F3', 'FABP2', 'FABP4', 'FASLG', 'FBP1', 'FCGR2B', 'FCN2', 'FGF21', 'FOSB', 'GFRA2', 'GGT1', 'GGT5', 'GH1', 'GH2', 'HBQ1', 'HDGF', 'HEBP1', 'HLA-DRA', 'HSPB1', 'ICAM5', 'IFNGR1', 'IGF2R', 'IL10', 'IL11', 'IL16', 'IL1RAP', 'IL22RA1', 'IL33', 'IL7R', 'KLK1', 'KLK10', 'KLK11', 'LAMA4', 'LGALS1', 'LILRA5', 'LTA', 'LY96', 'MAD1L1', 'MDGA1', 'MET', 'MSLN', 'MUC13', 'MUC16', 'MZB1', 'NCLN', 'NDUFS6', 'NECTIN2', 'NEFL', 'NINJ1', 'NOS1', 'NPTN', 'NPTXR', 'NTF3', 'PCOLCE', 'PDGFC', 'PIGR', 'PLIN1', 'PNLIPRP2', 'PODXL', 'PODXL2', 'PPY', 'PRL', 'PXN', 'RARRES1', 'RBP2', 'S100A12', 'S100A16', 'S100P', 'SELPLG', 'SEZ6L2', 'SIGLEC9', 'SLC39A5', 'SMOC2', 'SPINK6', 'SPINT1', 'SRP14', 'SSC5D', 'TACSTD2', 'TDGF1', 'TFPI2', 'THPO', 'TIGAR', 'TNFRSF11A', 'TNFRSF4', 'TNFSF11', 'TP53INP1', 'TSHB', 'ULBP2', 'VTCN1', 'VWA1', 'XPNPEP2']",123
Fold 57,"['ACP5', 'ADAM15', 'ADGRG1', 'ADGRG2', 'ALPP', 'AMBN', 'AMY2A', 'AMY2B', 'ANGPTL3', 'BCAN', 'CCL15', 'CCL20', 'CCL7', 'CD300C', 'CD48', 'CDCP1', 'CDH2', 'CEACAM5', 'CES2', 'CNTN1', 'CPA2', 'CRTAC1', 'CTSD', 'CTSH', 'CTSL', 'DDX58', 'DKKL1', 'DLL1', 'EGFR', 'EPCAM', 'FABP1', 'FBP1', 'FCGR2B', 'FCN2', 'FCRL2', 'FCRL6', 'FCRLB', 'FGF21', 'FOSB', 'FUCA1', 'GDF15', 'GGT5', 'GH2', 'GPA33', 'HDGF', 'HLA-DRA', 'IGF2R', 'IGSF3', 'IL11', 'IL1A', 'IL22RA1', 'IL2RA', 'IL5RA', 'ILKAP', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLB', 'KLK14', 'KRT18', 'LGALS1', 'LILRB1', 'LILRB2', 'LILRB5', 'LRP11', 'LY9', 'MDGA1', 'MET', 'METAP1', 'MSLN', 'MUC13', 'MZB1', 'NEFL', 'NFATC3', 'NINJ1', 'NOMO1', 'NPY', 'NRP2', 'NTRK3', 'OXT', 'PCSK9', 'PDGFC', 'PDGFRA', 'PM20D1', 'PRTG', 'RANGAP1', 'RASSF2', 'SIGLEC1', 'SPINK6', 'SPINT1', 'SSC5D', 'TDGF1', 'TLR3', 'TMPRSS5', 'TNC', 'TNFRSF10A', 'TNFRSF10B', 'TNFRSF11A', 'TNFRSF11B', 'TNFRSF8', 'TYMP', 'WISP1', 'XPNPEP2', 'XRCC4']",104
Fold 58,"['CCL20', 'CRTAC1', 'CSTB', 'EGLN1', 'MSR1', 'MZB1', 'SIGLEC9', 'TMSB10']",8
Fold 59,"['ADAMTS13', 'AKR1C4', 'ANGPTL2', 'ANGPTL3', 'AOC1', 'APOM', 'ARNT', 'BAIAP2', 'CALB2', 'CCL20', 'CD164', 'CD200', 'CD63', 'CDC27', 'CDH17', 'CDHR1', 'CEACAM5', 'CES2', 'CHIT1', 'CLUL1', 'CNTN5', 'CRLF1', 'CRTAC1', 'CTRB1', 'CTSL', 'CXCL8', 'DDX58', 'DKKL1', 'DPT', 'FABP1', 'FABP4', 'FASLG', 'FCRL5', 'FGF21', 'FGF5', 'FOSB', 'GBP2', 'GFAP', 'GFRA2', 'GGT5', 'GPA33', 'HBQ1', 'HDGF', 'ICAM1', 'IGF2R', 'IGFBPL1', 'IL13', 'IL16', 'IL17C', 'IL24', 'IL2RA', 'IL5', 'ISLR2', 'KCNIP4', 'KLB', 'KLK12', 'L1CAM', 'LAMA4', 'LGALS1', 'LGALS9', 'LILRB1', 'LRIG1', 'LRP1', 'LRPAP1', 'LRRC25', 'LY96', 'LYPD1', 'MAGED1', 'MARCO', 'MDGA1', 'MET', 'MSLN', 'MUC13', 'MZB1', 'NCLN', 'NELL2', 'NOMO1', 'NOS1', 'NPTN', 'NPY', 'NTRK3', 'PAG1', 'PDGFC', 'PDGFRA', 'PIGR', 'PLA2G7', 'PLIN1', 'PON2', 'PON3', 'PPY', 'PRKRA', 'PRSS8', 'PSIP1', 'RAB6B', 'RANGAP1', 'RCOR1', 'S100A16', 'SCARB1', 'SEZ6L2', 'SIGLEC9', 'SOD2', 'SPINT1', 'SRP14', 'SSB', 'TDGF1', 'TFPI2', 'THBS2', 'TIMP3', 'TMPRSS5', 'TNC', 'TNFRSF11A', 'TNFRSF8', 'TPT1', 'TSLP', 'TSPAN1', 'XPNPEP2', 'XRCC4']",117
Fold 60,"['ADAM15', 'CRTAC1', 'FOSB', 'GZMA', 'MDGA1', 'MSR1', 'MUC13', 'MZB1', 'PIGR', 'PON3', 'TNFRSF8']",11
Fold 61,"['LGALS1', 'MZB1']",2
Fold 62,"['ADAM15', 'ADAMTS13', 'ADAMTS15', 'ADCYAP1R1', 'AKR1C4', 'ANGPTL2', 'ARNT', 'ATP6V1D', 'B4GAT1', 'BAIAP2', 'BGN', 'C19orf12', 'CA5A', 'CALB2', 'CARHSP1', 'CCL15', 'CCL20', 'CCL21', 'CEACAM3', 'CES2', 'CNTN1', 'CNTN2', 'CNTNAP2', 'COL4A1', 'CPA2', 'CRTAC1', 'CTSB', 'CTSH', 'CXCL13', 'DLL1', 'DPT', 'DSG2', 'ENAH', 'ENPP7', 'FABP4', 'FBP1', 'FCAR', 'FCGR2B', 'FCN2', 'FCRL5', 'FCRL6', 'FGF21', 'FMR1', 'GFOD2', 'GFRA2', 'GGT1', 'GGT5', 'HBQ1', 'HLA-DRA', 'ICAM5', 'IFNGR1', 'IGF2R', 'IL11', 'IL13', 'IL16', 'IL17C', 'IL17D', 'IL22RA1', 'IL24', 'IL33', 'KCNIP4', 'KLB', 'KLK1', 'KLK10', 'KLK11', 'KLK14', 'LAMA4', 'LGALS1', 'LGALS9', 'LILRA5', 'LRP11', 'LRPAP1', 'LY96', 'MDGA1', 'MET', 'MLN', 'MSLN', 'MSTN', 'MUC13', 'MZB1', 'NDRG1', 'NFATC3', 'NINJ1', 'NPTN', 'NRTN', 'NTRK3', 'PAG1', 'PARP1', 'PCOLCE', 'PDGFC', 'PIGR', 'PM20D1', 'PPY', 'PRL', 'RANGAP1', 'SCGN', 'SIGLEC9', 'SLAMF1', 'SMOC2', 'SMPDL3A', 'SPINT1', 'TCL1A', 'TFPI2', 'THPO', 'TIMP3', 'TNC', 'TNFRSF8', 'TNFSF13', 'ULBP2', 'VWA1', 'WIF1', 'WISP2', 'XPNPEP2']",113
Fold 63,"['CCL7', 'GDF15', 'PLAUR', 'TIMP1']",4
Fold 64,"['ACE2', 'ACP5', 'ACP6', 'ADCYAP1R1', 'ALPP', 'AMIGO2', 'AOC1', 'BAIAP2', 'CCL15', 'CCL20', 'CDHR1', 'CES1', 'CES2', 'CLPS', 'CLUL1', 'CRTAC1', 'CTRB1', 'CTSF', 'CTSH', 'CTSL', 'CTSV', 'DKKL1', 'DLL1', 'ENPP7', 'FCGR2B', 'FCN2', 'FCRL5', 'FCRLB', 'FGF21', 'FOSB', 'GDF15', 'GFRA2', 'GGT5', 'GH2', 'GNLY', 'HBQ1', 'HDGF', 'IFNGR1', 'IGF2R', 'IGFBPL1', 'IL17C', 'IL20', 'IL5RA', 'ISM1', 'KIR2DL3', 'KITLG', 'KLB', 'KLK1', 'KLRB1', 'LAMA4', 'LHB', 'LY9', 'LY96', 'LYPD3', 'MARCO', 'MASP1', 'MDGA1', 'MME', 'MMP13', 'MSLN', 'MUC13', 'MZB1', 'NCLN', 'NINJ1', 'NOMO1', 'NOS1', 'NPTN', 'NRP1', 'PCDH1', 'PCOLCE', 'PDGFC', 'PDGFRA', 'PLAU', 'PM20D1', 'PNLIPRP2', 'PON3', 'PSPN', 'RANGAP1', 'S100A16', 'SDC1', 'SELPLG', 'SIGLEC9', 'SMOC2', 'SMPDL3A', 'SPINK6', 'SPINT1', 'SRP14', 'TDGF1', 'THBS2', 'THPO', 'TMPRSS5', 'TMSB10', 'TNC', 'TNFRSF11A', 'TNFRSF13B', 'TNFRSF13C', 'TP53', 'ULBP2', 'VWA1', 'XPNPEP2', 'XRCC4']",101
Fold 65,"['ADAM15', 'ADAMTS13', 'BST1', 'CAPG', 'CASP1', 'CCL15', 'CCL20', 'CCL23', 'CDHR2', 'CEACAM5', 'CHIT1', 'CNTN1', 'CPA2', 'CRTAC1', 'CTSF', 'CTSH', 'CXCL13', 'DKKL1', 'FBP1', 'FCGR2B', 'FGF21', 'FOSB', 'FUCA1', 'GFRA2', 'GGT1', 'GLB1', 'HCLS1', 'HLA-DRA', 'HPGDS', 'HSPB1', 'IGF2R', 'IL10', 'IL13', 'IL16', 'IL18RAP', 'IL22RA1', 'IL33', 'ITGB6', 'KIR2DL3', 'KLK1', 'KLK14', 'LAMP3', 'LTA', 'LYN', 'MDGA1', 'MERTK', 'MSLN', 'MSTN', 'MUC13', 'MZB1', 'NCLN', 'PIGR', 'PLAUR', 'PM20D1', 'PRL', 'PTPRM', 'RANGAP1', 'RBP2', 'S100A11', 'S100P', 'SCARB1', 'SCP2', 'SIGLEC9', 'SMOC2', 'SMPDL3A', 'SPINK6', 'SPINT1', 'SRP14', 'SSB', 'TDGF1', 'TNFRSF8', 'VTCN1', 'XPNPEP2']",73
Fold 66,"['ACP6', 'ADAMTS13', 'ADAMTS15', 'AMY2A', 'AMY2B', 'ANXA3', 'AOC1', 'ATP6V1D', 'BAIAP2', 'C19orf12', 'CCL15', 'CCL19', 'CCL20', 'CD63', 'CDHR1', 'CDKN1A', 'CES2', 'CHIT1', 'CLPS', 'CPVL', 'CRTAC1', 'CTRB1', 'CTSF', 'CTSH', 'CXCL14', 'CXCL8', 'DKKL1', 'DPT', 'DSG4', 'ENPP7', 'FABP4', 'FCN2', 'FCRL5', 'FOSB', 'GFRA2', 'GGT1', 'GGT5', 'GH2', 'GP2', 'HBQ1', 'HDGF', 'HLA-DRA', 'ICAM1', 'IGF2R', 'IGFBPL1', 'IL13', 'ILKAP', 'ISLR2', 'ISM1', 'KLK1', 'KLK10', 'LAMA4', 'LEP', 'LGALS1', 'LHB', 'LILRA5', 'LRRC25', 'LTA', 'LY96', 'LYPD1', 'MARCO', 'MASP1', 'MDGA1', 'MET', 'MGMT', 'MILR1', 'MSLN', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NINJ1', 'NPTN', 'NPY', 'NRP1', 'NTRK3', 'NXPH1', 'PDGFC', 'PIGR', 'PLA2G7', 'PLIN1', 'PM20D1', 'PON3', 'PPY', 'PRSS8', 'PSIP1', 'RANGAP1', 'RARRES1', 'S100A16', 'SELPLG', 'SIGLEC7', 'SIGLEC9', 'SIRT5', 'SLC39A5', 'SMOC2', 'SOST', 'SPINT1', 'SRP14', 'TDGF1', 'THPO', 'TMPRSS5', 'TMSB10', 'TNC', 'TNFRSF11A', 'TNFRSF4', 'TSLP', 'TXNDC5', 'ULBP2', 'XPNPEP2']",109
Fold 67,"['CCL20', 'CCL7', 'MZB1']",3
Fold 68,"['CDCP1', 'CXCL8', 'DSG4', 'GDF15', 'LGALS1', 'LGALS9', 'MZB1', 'PON3']",8
Fold 69,"['ANGPTL2', 'CCL20', 'CDHR1', 'CEACAM3', 'CES2', 'CRTAC1', 'CTSL', 'DKKL1', 'DLL1', 'DPT', 'DSG4', 'FABP4', 'FCN2', 'FGF21', 'GGT5', 'HDGF', 'HLA-DRA', 'IL11', 'KCNIP4', 'MDGA1', 'MUC13', 'MZB1', 'NDRG1', 'NPTN', 'PDGFC', 'PPY', 'TDGF1', 'TFPI2', 'TNFRSF13C', 'XPNPEP2']",30
Fold 70,"['CDCP1', 'DSG4', 'FBP1', 'GRN', 'IL2RA', 'LGALS1', 'MZB1', 'PON3']",8
Fold 71,"['CCL7', 'GDF15', 'MZB1']",3
Fold 72,"['ACP5', 'ACTN4', 'AMIGO2', 'AMY2A', 'AMY2B', 'AOC1', 'BAIAP2', 'BSG', 'CA6', 'CCL20', 'CD164', 'CD63', 'CDH17', 'CES2', 'CGA', 'CLUL1', 'CPA2', 'CRELD2', 'CRTAC1', 'CSF2RA', 'CTSH', 'DLL1', 'ENPP7', 'FABP4', 'FBP1', 'FCGR2B', 'FCN2', 'FCRL5', 'FOLR1', 'FOSB', 'GFAP', 'GFRA2', 'GGT5', 'GPA33', 'GPC5', 'GRPEL1', 'GZMA', 'HAVCR2', 'HCLS1', 'HDGF', 'HMOX2', 'IFNGR1', 'IGF2R', 'IL12RB1', 'IL17C', 'IL18RAP', 'IL2', 'IL22RA1', 'ILKAP', 'JCHAIN', 'KIR2DL3', 'KLB', 'KLK1', 'KLRB1', 'KLRD1', 'LAIR2', 'LEFTY2', 'LGALS1', 'LHB', 'LRPAP1', 'LY96', 'MDGA1', 'MET', 'MUC13', 'MZB1', 'NCLN', 'NGF', 'NOS1', 'NPTN', 'NRP2', 'PCOLCE', 'PDGFC', 'PDGFRA', 'PM20D1', 'PODXL2', 'PRDX1', 'PRSS8', 'PRTG', 'PSIP1', 'PSPN', 'S100A16', 'SMOC2', 'SPINT1', 'SRP14', 'SSC5D', 'TDGF1', 'TMPRSS5', 'TMSB10', 'TNFRSF11A', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'ULBP2', 'VEGFA', 'XPNPEP2']",96
Fold 73,"['ADAM15', 'ANGPTL2', 'ARNT', 'BAIAP2', 'C19orf12', 'CCL20', 'CES2', 'CRTAC1', 'CTSF', 'DKKL1', 'FCGR2A', 'IKZF2', 'IL22RA1', 'KCNIP4', 'MDGA1', 'MSR1', 'MUC13', 'MZB1', 'NDRG1', 'NPTN', 'PPY', 'RANGAP1', 'SMOC2', 'SRP14', 'TFPI2', 'TNC', 'XPNPEP2', 'XRCC4']",28
Fold 74,"['ADAMTS15', 'ADGRG2', 'AKR1C4', 'AMBP', 'AMY2A', 'AMY2B', 'APEX1', 'ATP6V1D', 'ATP6V1F', 'B4GAT1', 'BAIAP2', 'CA5A', 'CCL19', 'CCL20', 'CD276', 'CD38', 'CD5', 'CD63', 'CDH17', 'CDHR1', 'CEACAM5', 'CES2', 'CHIT1', 'CLEC4G', 'CNTN1', 'COL9A1', 'CPA2', 'CPVL', 'CRTAC1', 'CTSH', 'CTSL', 'DKKL1', 'DPT', 'DSG4', 'ERBB4', 'FBP1', 'FCGR2B', 'FCRL5', 'FGF19', 'FOSB', 'GAL', 'GFOD2', 'GGT1', 'GH2', 'GP2', 'GPC5', 'HLA-DRA', 'IFNGR2', 'IGF2R', 'IL11', 'IL13', 'IL1RAP', 'IL32', 'IL33', 'INHBC', 'ISLR2', 'ISM1', 'JUN', 'KCNIP4', 'KIR2DL3', 'KLK1', 'KLK12', 'KLRD1', 'LAMA4', 'LGALS1', 'LGALS9', 'LHPP', 'LILRB1', 'LY96', 'MAGED1', 'MARCO', 'MDGA1', 'MILR1', 'MUC13', 'MZB1', 'NFKBIE', 'NINJ1', 'NOMO1', 'NPTN', 'NTRK3', 'NXPH1', 'PAPPA', 'PCSK9', 'PDGFC', 'PM20D1', 'PON3', 'PPY', 'PRTG', 'PTS', 'RAB6B', 'RARRES1', 'RASSF2', 'RRM2', 'SELPLG', 'SFTPD', 'SIT1', 'SLITRK6', 'SPINK6', 'SPINT1', 'SSB', 'SSC5D', 'TCL1A', 'TDGF1', 'TFPI2', 'THBS2', 'THPO', 'TLR3', 'TMPRSS5', 'TNC', 'TNFRSF10A', 'TSHB', 'XPNPEP2', 'XRCC4']",113
Fold 75,"['ADAM15', 'CCL19', 'CCL20', 'CDHR1', 'CRTAC1', 'CXCL8', 'DPT', 'ENPP7', 'FOSB', 'HLA-DRA', 'IGF2R', 'KLK10', 'MDGA1', 'MUC13', 'MZB1', 'NINJ1', 'NPTN', 'NTRK3', 'PM20D1', 'PON3', 'RANGAP1', 'SMOC2', 'SOST', 'SSB', 'TDGF1', 'XPNPEP2', 'XRCC4']",27
Fold 76,"['ACTN4', 'ADAMTS13', 'ADAMTS15', 'AKR1C4', 'ANGPTL2', 'AOC1', 'APOM', 'ARNT', 'AZU1', 'B4GAT1', 'BAIAP2', 'BSG', 'C19orf12', 'CAMKK1', 'CAPG', 'CCL20', 'CD163', 'CD164', 'CD209', 'CD22', 'CD5', 'CD63', 'CDHR1', 'CES2', 'CHIT1', 'CHL1', 'CLEC4C', 'CLPS', 'CPA1', 'CPA2', 'CRLF1', 'CRTAC1', 'CTRB1', 'CTSH', 'CTSL', 'CTSS', 'DKKL1', 'ENPP7', 'EREG', 'FABP1', 'FABP4', 'FASLG', 'FBP1', 'FCAR', 'FCGR2B', 'FCN2', 'FCRL5', 'FGF21', 'FOSB', 'GDF15', 'GFAP', 'GFRA2', 'GFRA3', 'GGT1', 'GGT5', 'GPA33', 'HBQ1', 'HCLS1', 'HDGF', 'HEBP1', 'HLA-DRA', 'HSPG2', 'IFNGR1', 'IGF2R', 'IGFBPL1', 'IL10', 'IL11', 'IL13', 'IL16', 'IL22RA1', 'IL24', 'IL33', 'IL5', 'ISLR2', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLB', 'KLK1', 'KLK12', 'LAMA4', 'LGALS1', 'LILRA5', 'LILRB1', 'LRRC25', 'LY96', 'MAGED1', 'MDGA1', 'MET', 'MSR1', 'MUC13', 'MUC16', 'MZB1', 'NCLN', 'NECTIN2', 'NOMO1', 'NPTN', 'NPTXR', 'NTF4', 'PAEP', 'PDGFC', 'PIGR', 'PM20D1', 'PON3', 'PPY', 'PRKRA', 'PRSS8', 'PSIP1', 'PSPN', 'RANGAP1', 'RASA1', 'S100A16', 'SELPLG', 'SEZ6L2', 'SIGLEC9', 'SLC16A1', 'SMOC2', 'SNX9', 'SOD2', 'SPINT1', 'SRP14', 'SSC5D', 'STX6', 'TACSTD2', 'TDGF1', 'THPO', 'TMPRSS5', 'TMSB10', 'TNC', 'TNFRSF11A', 'TNFRSF13C', 'TNFRSF1A', 'TNFRSF4', 'TNFRSF8', 'TNR', 'TPSAB1', 'TPT1', 'TXNDC5', 'ULBP2', 'WFIKKN1', 'XPNPEP2', 'YES1']",142
Fold 77,"['CCL20', 'CCL7', 'CRTAC1', 'GGT5', 'HDGF', 'LGALS1', 'MDGA1', 'MZB1', 'NOMO1', 'PPY', 'SRP14', 'TFPI2', 'TNC', 'XPNPEP2']",14
Fold 78,"['ADAM15', 'AMY2A', 'AMY2B', 'ANXA3', 'ASAH2', 'B4GAT1', 'CASP1', 'CCL15', 'CCL17', 'CCL19', 'CD63', 'CDHR1', 'CEACAM5', 'CHIT1', 'CLEC4G', 'CPA2', 'CPM', 'CRTAC1', 'CTSH', 'DKKL1', 'FBP1', 'FCRL5', 'FGF21', 'FOSB', 'GFRA2', 'HLA-DRA', 'IGF2R', 'IL13', 'IL16', 'IL2', 'IL2RA', 'IL33', 'ISM1', 'KCNIP4', 'KLK1', 'LAMA4', 'MDGA1', 'MSLN', 'MUC13', 'MZB1', 'NCLN', 'NFATC3', 'NINJ1', 'NPTN', 'NPY', 'NTF4', 'PCSK9', 'PDGFC', 'RANGAP1', 'SIGLEC9', 'SMOC2', 'SPINK6', 'SPINT1', 'SRP14', 'TDGF1', 'THBS2', 'THPO', 'TMPRSS5', 'TNC', 'TNFRSF8', 'TSHB', 'XPNPEP2']",62
Fold 79,"['ADAMTS13', 'ADGRG2', 'AFP', 'AHSP', 'AMBP', 'ANGPTL2', 'AOC1', 'BAIAP2', 'BSG', 'BTN3A2', 'C4BPB', 'CAMKK1', 'CCL20', 'CD164', 'CD38', 'CD5', 'CD63', 'CDHR1', 'CES2', 'CLSPN', 'CLSTN2', 'CNTN4', 'COLEC12', 'CPE', 'CRELD2', 'CRTAC1', 'CRX', 'CXCL14', 'DLL1', 'DPY30', 'FAP', 'FBP1', 'FCGR2A', 'FCN2', 'FCRL5', 'FETUB', 'FGR', 'FKBP5', 'FOSB', 'GFAP', 'GFOD2', 'GFRA2', 'GGT1', 'GGT5', 'GLT8D2', 'GP2', 'GPA33', 'HBQ1', 'HDGF', 'HMBS', 'HSP90B1', 'ICAM1', 'IGFBPL1', 'IL15RA', 'IL17C', 'IL2RA', 'IL5', 'ILKAP', 'ISLR2', 'JCHAIN', 'JUN', 'KIR2DL3', 'KLK12', 'KLRD1', 'L1CAM', 'LAIR2', 'LAMA4', 'LEP', 'LGALS1', 'LILRA5', 'LILRB1', 'LRPAP1', 'LRRC25', 'LYPD1', 'LYPD8', 'MARCO', 'MDGA1', 'MET', 'MZB1', 'NCAM2', 'NDRG1', 'NMNAT1', 'NRP1', 'PAG1', 'PDCD5', 'PKLR', 'PON3', 'PRDX1', 'PRL', 'PSIP1', 'RASA1', 'RET', 'S100A16', 'SCARB1', 'SCP2', 'SEZ6L2', 'SIGLEC9', 'SLC39A5', 'SMOC2', 'SPINK1', 'SPINT1', 'SRP14', 'SSB', 'SSC5D', 'TDGF1', 'TFRC', 'THPO', 'TNFRSF11A', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TPT1', 'TSLP', 'TXLNA', 'TXNRD1', 'VSIG4', 'XG', 'XPNPEP2']",119
Fold 80,"['ACP5', 'AKR1C4', 'ANGPTL2', 'ANGPTL3', 'AOC1', 'BAIAP2', 'CCL19', 'CCL20', 'CD200', 'CD276', 'CD38', 'CD63', 'CDCP1', 'CDHR1', 'CEACAM5', 'CES2', 'CHIT1', 'CLUL1', 'COL4A1', 'CRTAC1', 'CSF2RA', 'CTSB', 'CTSH', 'DKKL1', 'DLL1', 'DNAJB1', 'DPT', 'DSG4', 'ENAH', 'ENPP7', 'EPCAM', 'FASLG', 'FCN2', 'FCRL5', 'FOSB', 'FST', 'GFOD2', 'GFRA2', 'GGT5', 'GPA33', 'HCLS1', 'HDGF', 'HSP90B1', 'IFNGR2', 'IGF2R', 'IGSF3', 'IL11', 'IL17C', 'IL17D', 'IL2', 'IL22RA1', 'IL24', 'IL32', 'IL33', 'ITGB6', 'KCNIP4', 'KIR2DL3', 'KLB', 'KLRD1', 'LHPP', 'LRP11', 'LRPAP1', 'LSM1', 'MAGED1', 'MARCO', 'MDGA1', 'MET', 'MMP13', 'MUC13', 'MZB1', 'NCLN', 'NINJ1', 'NOMO1', 'NOS1', 'NPTN', 'NPTXR', 'NRP1', 'NRP2', 'NTF4', 'PDGFC', 'PDGFRA', 'PM20D1', 'PODXL2', 'PON2', 'S100A16', 'SCG2', 'SCGN', 'SDC1', 'SIGLEC9', 'SMPDL3A', 'SPINK6', 'SPINT1', 'SRP14', 'SSC5D', 'TCL1B', 'TDGF1', 'TFPI2', 'THPO', 'TMPRSS5', 'TNFRSF13C', 'TNFRSF4', 'TP53INP1', 'TXLNA', 'XPNPEP2']",104
Fold 81,"['ACE2', 'ADAM15', 'ADAMTS15', 'ADAMTS16', 'ADGRG1', 'AGRN', 'AMY2A', 'AMY2B', 'ANGPTL3', 'APOM', 'ATP6V1D', 'BAIAP2', 'CASP1', 'CCL15', 'CCL19', 'CCL7', 'CD27', 'CD48', 'CD5', 'CDHR1', 'CEACAM21', 'CELA3A', 'CHI3L1', 'CHIT1', 'CNTN5', 'COL6A3', 'COLEC12', 'CPVL', 'CRH', 'CRISP2', 'CRTAC1', 'CTRB1', 'CTSH', 'CTSS', 'CXCL8', 'DEFA1_DEFA1B', 'DKKL1', 'DLL1', 'DPT', 'DSG4', 'FCGR2B', 'FCRL5', 'FGF21', 'FOSB', 'GFRA2', 'GGT1', 'GGT5', 'GH2', 'GPA33', 'GRN', 'HLA-DRA', 'IGF2R', 'IGFBPL1', 'IKZF2', 'IL13', 'IL2RB', 'IL33', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK10', 'KRT5', 'LAMA4', 'LGALS1', 'LILRB1', 'LTA4H', 'MAPT', 'MARCO', 'MASP1', 'MDGA1', 'MET', 'MICB_MICA', 'MMP1', 'MMP13', 'MSLN', 'MUC13', 'MZB1', 'NCAM2', 'NCF2', 'NELL1', 'NINJ1', 'NPTN', 'NTRK3', 'PCSK9', 'PIGR', 'PLAUR', 'PM20D1', 'PON3', 'PPY', 'PRSS8', 'PTH1R', 'RAB6B', 'RANGAP1', 'RBP2', 'RELT', 'REN', 'RETN', 'SCGB1A1', 'SELE', 'SIGLEC7', 'SMOC2', 'SPINT1', 'SRP14', 'TDGF1', 'THPO', 'TLR3', 'TNC', 'TNFRSF8', 'TSHB', 'TSLP', 'UMOD', 'WIF1', 'XPNPEP2']",113
Fold 82,"['ACE2', 'ACTN4', 'ADAM15', 'ADAMTS13', 'ADAMTS15', 'ADCYAP1R1', 'AMIGO2', 'ANGPTL2', 'AOC1', 'BSG', 'CCL11', 'CCL19', 'CCL20', 'CD164', 'CD276', 'CDHR1', 'CDHR2', 'CEACAM1', 'CHIT1', 'CHL1', 'CLEC10A', 'COL4A1', 'COPE', 'CPA2', 'CRELD2', 'CRHR1', 'CRTAC1', 'CTSF', 'CXCL8', 'DKKL1', 'DPT', 'ENPP7', 'EREG', 'FABP4', 'FASLG', 'FCGR2B', 'FCN2', 'FCRL5', 'FGF21', 'FOLR1', 'FOSB', 'GFRA2', 'GGH', 'GGT5', 'GPA33', 'HBQ1', 'HCLS1', 'HLA-DRA', 'IGF2R', 'IL11', 'IL13', 'IL13RA1', 'IL17C', 'IL17D', 'IL17F', 'IL17RB', 'IL18RAP', 'IL1RAP', 'IL22RA1', 'IL2RA', 'IL5', 'KCNIP4', 'KLB', 'KLK12', 'LAMA4', 'LGALS1', 'LILRB1', 'LRPAP1', 'LY9', 'LY96', 'LYPD1', 'MATN2', 'MCFD2', 'MDGA1', 'MET', 'MGMT', 'MILR1', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NPTN', 'NPTXR', 'NTF4', 'PCOLCE', 'PDGFC', 'PIGR', 'PM20D1', 'PON3', 'PPY', 'PRKRA', 'RANGAP1', 'RARRES1', 'S100A16', 'SCP2', 'SELPLG', 'SIGLEC9', 'SMOC2', 'SOD2', 'SPINT1', 'SRP14', 'SSB', 'TDGF1', 'THPO', 'TIGAR', 'TIMP3', 'TMPRSS5', 'TMSB10', 'TNC', 'TNFRSF11A', 'TNFRSF11B', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TP53', 'ULBP2', 'VWA1', 'XPNPEP2', 'XRCC4']",120
Fold 83,"['LGALS1', 'LGALS9', 'MZB1', 'PON3', 'TNFRSF8']",5
