,Fold selected features,Fold nb of features
Fold 20,"['CCL20', 'CRTAC1', 'LGALS1', 'MET', 'MZB1']",5
Fold 21,"['ADAMTS13', 'CCL20', 'CCL7', 'CRTAC1', 'CXCL8', 'FBP1', 'FOSB', 'IL22RA1', 'LGALS1', 'LILRB1', 'MDGA1', 'MSLN', 'MUC13', 'MZB1', 'NOMO1', 'PON3', 'TFPI2', 'XPNPEP2']",18
Fold 22,"['BAIAP2', 'CCL20', 'CRTAC1', 'CXCL8', 'FABP4', 'GGT1', 'JUN', 'LGALS1', 'MZB1', 'PLAUR', 'PSIP1', 'TMSB10', 'TNFRSF8']",13
Fold 23,"['ACAN', 'ADAM15', 'ADAMTS15', 'ADCYAP1R1', 'ADGRG2', 'AKR1C4', 'AMY2A', 'AMY2B', 'ANGPTL3', 'ANXA5', 'AOC1', 'BAIAP2', 'C19orf12', 'CAMKK1', 'CCL17', 'CCL20', 'CD164', 'CD63', 'CDH17', 'CDHR1', 'CES2', 'CHIT1', 'CLC', 'CLEC4G', 'CPA2', 'CRTAC1', 'CSF2RA', 'CTSL', 'CTSS', 'CXCL8', 'DKKL1', 'DLL1', 'DNER', 'DPT', 'DPY30', 'DSG4', 'ECE1', 'ENPP7', 'EPCAM', 'ERBB3', 'FCAR', 'FCN2', 'FCRL5', 'FCRL6', 'FGF21', 'FOSB', 'GDF15', 'GFAP', 'GFOD2', 'GFRA2', 'GGT5', 'GH2', 'GLB1', 'GNLY', 'GPA33', 'HBQ1', 'HCLS1', 'HDGF', 'HMBS', 'HMOX2', 'HSP90B1', 'IFNGR2', 'IGF2R', 'IL10', 'IL11', 'IL13', 'IL17C', 'IL22RA1', 'IL24', 'IL2RA', 'IL2RB', 'IL33', 'IL5RA', 'ILKAP', 'KCNIP4', 'KIR2DL3', 'KLB', 'KLK1', 'KLK10', 'KLK14', 'LAMA4', 'LEP', 'LGALS9', 'LHB', 'LILRB1', 'LRP11', 'LY96', 'LYPD1', 'MARCO', 'MCAM', 'MDGA1', 'MET', 'MICB_MICA', 'MME', 'MUC13', 'MUC16', 'MZB1', 'NPTN', 'NRP2', 'NTRK3', 'PCSK9', 'PDGFC', 'PLA2G10', 'PM20D1', 'PON3', 'PPY', 'PRSS8', 'PTH1R', 'RANGAP1', 'RASA1', 'SCGN', 'SERPINB9', 'SEZ6L2', 'SIGLEC10', 'SIGLEC9', 'SMOC2', 'SMPDL3A', 'SPINT1', 'SSB', 'TDGF1', 'TFRC', 'THPO', 'TMPRSS5', 'TNC', 'TNFRSF11A', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF8', 'TSLP', 'TXLNA', 'TXNDC5', 'XPNPEP2', 'XRCC4']",133
Fold 24,"['ACE2', 'ADAM15', 'ADAMTS13', 'AMY2A', 'AMY2B', 'ANG', 'ATP6V1D', 'B4GAT1', 'BAIAP2', 'CAPG', 'CASP1', 'CCL15', 'CCL19', 'CCL20', 'CD5', 'CD63', 'CDH17', 'CDHR1', 'CEACAM5', 'CELA3A', 'CES2', 'CHIT1', 'CHL1', 'CLEC10A', 'CPA2', 'CRLF1', 'CRTAC1', 'CSTB', 'CTSF', 'CTSH', 'DKKL1', 'DPT', 'EPCAM', 'EPHA10', 'ERBB4', 'FOSB', 'FUT3_FUT5', 'GFOD2', 'GFRA2', 'GHRHR', 'GNLY', 'GPA33', 'GPC5', 'HAVCR1', 'HLA-DRA', 'ICAM4', 'IFNGR2', 'IGF2R', 'IL13', 'IL16', 'IL1RAP', 'IL2', 'IL2RA', 'IL32', 'ISM1', 'KIR2DL3', 'KLK12', 'LGALS1', 'MATN2', 'MDGA1', 'MME', 'MSLN', 'MTPN', 'MUC13', 'MZB1', 'NCLN', 'NINJ1', 'NPTN', 'NPY', 'PCSK9', 'PDGFC', 'PM20D1', 'POLR2F', 'PPY', 'PTH1R', 'RANGAP1', 'RETN', 'SFTPD', 'SMOC2', 'SPINK6', 'SPINT1', 'SSB', 'TDGF1', 'THBS2', 'TIGAR', 'TMPRSS15', 'TNC', 'TNFSF12', 'TSHB', 'TYRO3', 'XPNPEP2', 'XRCC4']",92
Fold 25,"['CCL7', 'CRTAC1', 'LGALS1', 'MAD1L1', 'MZB1', 'SSB']",6
Fold 26,"['ACP5', 'ADAMTS13', 'ADAMTS15', 'AOC1', 'B4GAT1', 'BAIAP2', 'BAX', 'BSG', 'BST1', 'CALB2', 'CARHSP1', 'CCL17', 'CCL20', 'CD209', 'CD63', 'CD74', 'CDC27', 'CDH17', 'CDHR1', 'CHI3L1', 'CHIT1', 'CLEC4G', 'CLPS', 'CNTN5', 'COL4A1', 'COL6A3', 'COLEC12', 'CRTAC1', 'CTSF', 'CTSL', 'CXCL16', 'CXCL8', 'DAB2', 'DKKL1', 'DLL1', 'DPT', 'DSG2', 'DSG4', 'EDIL3', 'EPCAM', 'FABP1', 'FABP2', 'FABP4', 'FBP1', 'FCER2', 'FCN2', 'GALNT3', 'GFAP', 'GFOD2', 'GFRA2', 'GGT5', 'GP2', 'GPC5', 'GRN', 'HBQ1', 'HDGF', 'HEBP1', 'HLA-DRA', 'HMBS', 'HSPB6', 'ICAM1', 'IGSF3', 'IL13', 'IL16', 'IL17C', 'IL1RAP', 'IL22RA1', 'IL5', 'ISLR2', 'KCNIP4', 'KLK1', 'KLK12', 'L1CAM', 'LAMA4', 'LGALS9', 'LILRA5', 'LILRB1', 'LILRB4', 'LPO', 'LRRC25', 'LTBP2', 'LTO1', 'LY96', 'LYPD1', 'MARCO', 'MDGA1', 'MET', 'MGMT', 'MME', 'MUC13', 'MZB1', 'NCAM2', 'NCLN', 'NDRG1', 'NECTIN2', 'NPDC1', 'NPTN', 'NPY', 'NTRK3', 'OXT', 'PDGFC', 'PDGFRA', 'PKLR', 'PLA2G7', 'PLAUR', 'PM20D1', 'PNLIPRP2', 'PODXL2', 'PON3', 'PRDX1', 'PRKRA', 'PSIP1', 'PTPRM', 'RANGAP1', 'S100A16', 'SCGN', 'SCP2', 'SIGLEC9', 'SIRT5', 'SMOC2', 'SOD2', 'SPINT1', 'SSB', 'TFPI2', 'THBS2', 'THPO', 'TMSB10', 'TNFRSF11A', 'TNFRSF12A', 'TNFSF12', 'TPT1', 'TSHB', 'TSLP', 'VWF', 'WFDC2', 'WIF1', 'WISP1', 'XPNPEP2', 'XRCC4']",139
Fold 27,"['CCL20', 'CRTAC1', 'CTSH', 'CXCL13', 'CXCL8', 'FOSB', 'IGF2R', 'LGALS1', 'MDGA1', 'MSR1', 'MZB1', 'PON3', 'SIGLEC9', 'TNFRSF8']",14
Fold 28,"['CCL7', 'CRTAC1', 'LGALS9']",3
Fold 29,"['ACE2', 'ADAM15', 'ADAMTS13', 'ADAMTS15', 'AOC1', 'APBB1IP', 'APEX1', 'BAIAP2', 'C19orf12', 'CAPG', 'CASP1', 'CCL20', 'CD177', 'CD276', 'CD38', 'CD5', 'CD63', 'CDH17', 'CDHR1', 'CES2', 'CHIT1', 'CHL1', 'CLEC10A', 'COL6A3', 'CRTAC1', 'CTSF', 'CTSH', 'CXCL8', 'DAPP1', 'DKKL1', 'DNER', 'DPT', 'DSG2', 'DTX3', 'ENPP7', 'EPCAM', 'FABP4', 'FASLG', 'FCAR', 'FCN2', 'FCRL5', 'FGF21', 'FLT1', 'FOSB', 'FUCA1', 'GAL', 'GFOD2', 'GFRA2', 'GGT5', 'GNLY', 'GPA33', 'HCLS1', 'HDGF', 'HSPG2', 'ICAM1', 'IGF2R', 'IL13', 'IL16', 'IL17F', 'IL17RB', 'IL1A', 'IL22RA1', 'IL32', 'IL5RA', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLB', 'LGALS3', 'LILRA5', 'LRP11', 'LSP1', 'LY96', 'LYPD1', 'MDGA1', 'MET', 'MGMT', 'MSLN', 'MUC13', 'MUC16', 'MZB1', 'NCLN', 'NFASC', 'NINJ1', 'NOMO1', 'NPTN', 'NRP1', 'PDGFC', 'PM20D1', 'PON3', 'PPY', 'PRL', 'PRSS8', 'PSIP1', 'PTS', 'RARRES1', 'RASSF2', 'S100A11', 'S100A16', 'S100P', 'SCARB1', 'SCP2', 'SELPLG', 'SERPINB8', 'SIGLEC9', 'SMOC2', 'SMPDL3A', 'SPINT1', 'SRP14', 'SSB', 'TDGF1', 'TFRC', 'THBS2', 'THPO', 'TMPRSS5', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF4', 'TP53INP1', 'TPT1', 'TSPAN1', 'XPNPEP2']",122
