,Celldensities,Function,Metavariables,Neighborhood
Vessel_stromal_eccentricity,,,"{'Statistic': 2022.0, 'p-value': 1.213603485449393e-06}",
Vessel_tumorfront_eccentricity,,,"{'Statistic': 2301.0, 'p-value': 7.686554678557431e-05}",
Fibroblasts_stromal_eccentricity,,,"{'Statistic': 2163.0, 'p-value': 1.0882583010440288e-05}",
Fibroblasts_tumorfront_eccentricity,,,"{'Statistic': 2715.0, 'p-value': 0.008810454163543573}",
CD4 T cells naive_stromal_eccentricity,,,"{'Statistic': 2874.0, 'p-value': 0.03512996860717948}",
CD4 T cells naive_tumorfront_eccentricity,,,"{'Statistic': 2694.0, 'p-value': 0.00720296501201058}",
CD4 T cells memory_stromal_eccentricity,,,"{'Statistic': 2694.0, 'p-value': 0.007209216426965788}",
CD4 T cells memory_tumorfront_eccentricity,,,"{'Statistic': 2694.0, 'p-value': 0.007209178531033002}",
CD4 T cells regulatory_stromal_eccentricity,,,"{'Statistic': 3210.0, 'p-value': 0.30602097135396444}",
CD4 T cells regulatory_tumorfront_eccentricity,,,"{'Statistic': 2799.0, 'p-value': 0.018823004129704973}",
B cells_stromal_eccentricity,,,"{'Statistic': 3081.0, 'p-value': 0.15000425759760974}",
B cells_tumorfront_eccentricity,,,"{'Statistic': 2634.0, 'p-value': 0.003932104035360958}",
CD8 T cells_intratumor_eccentricity,,,"{'Statistic': 2946.0, 'p-value': 0.06079249627725246}",
CD8 T cells_stromal_eccentricity,,,"{'Statistic': 3030.0, 'p-value': 0.10875120394481921}",
CD8 T cells_tumorfront_eccentricity,,,"{'Statistic': 3009.0, 'p-value': 0.0946164299571123}",
Myeloid M1 macrophages_stromal_eccentricity,,,"{'Statistic': 2175.0, 'p-value': 1.2996442354260278e-05}",
Myeloid M1 macrophages_tumorfront_eccentricity,,,"{'Statistic': 2463.0, 'p-value': 0.0005997757406061996}",
Myeloid M2 macrophages_stromal_eccentricity,,,"{'Statistic': 2592.0, 'p-value': 0.0025626174126608652}",
Myeloid M2 macrophages_tumorfront_eccentricity,,,"{'Statistic': 2973.0, 'p-value': 0.07384190279460245}",
Myeloid Granulocytes_stromal_eccentricity,,,"{'Statistic': 3087.0, 'p-value': 0.15558288092806938}",
Myeloid Granulocytes_tumorfront_eccentricity,,,"{'Statistic': 2811.0, 'p-value': 0.02087830856341467}",
Myeloid DCs_stromal_eccentricity,,,"{'Statistic': 2283.0, 'p-value': 6.0060393494643984e-05}",
Myeloid DCs_tumorfront_eccentricity,,,"{'Statistic': 2373.0, 'p-value': 0.0001959238942312956}",
Myeloid Monocytes_stromal_eccentricity,,,"{'Statistic': 3042.0, 'p-value': 0.1175486572881447}",
Myeloid Monocytes_tumorfront_eccentricity,,,"{'Statistic': 3081.0, 'p-value': 0.1500316903479985}",
Tumor non-proliferating_tumorfront_celldistance,,,"{'Statistic': 2421.0, 'p-value': 0.00036093361128966154}",
Tumor proliferating_tumorfront_celldistance,,,"{'Statistic': 2799.0, 'p-value': 0.018847774009902715}",
Vessel_tumorfront_celldistance,,,"{'Statistic': 2010.0, 'p-value': 9.977131615450892e-07}",
Fibroblasts_tumorfront_celldistance,,,"{'Statistic': 2298.0, 'p-value': 7.381560201442972e-05}",
CD4 T cells naive_tumorfront_celldistance,,,"{'Statistic': 2250.0, 'p-value': 3.808084776331047e-05}",
CD4 T cells memory_tumorfront_celldistance,,,"{'Statistic': 1893.0, 'p-value': 1.3696371364760034e-07}",
CD4 T cells regulatory_tumorfront_celldistance,,,"{'Statistic': 2478.0, 'p-value': 0.0007142006185631545}",
B cells_tumorfront_celldistance,,,"{'Statistic': 2799.0, 'p-value': 0.01872002673859168}",
CD8 T cells_tumorfront_celldistance,,,"{'Statistic': 2319.0, 'p-value': 9.781639380042936e-05}",
Myeloid M1 macrophages_tumorfront_celldistance,,,"{'Statistic': 2358.0, 'p-value': 0.0001631083491300956}",
Myeloid M2 macrophages_tumorfront_celldistance,,,"{'Statistic': 1791.0, 'p-value': 2.1669894309002606e-08}",
Myeloid Granulocytes_tumorfront_celldistance,,,"{'Statistic': 2529.0, 'p-value': 0.001284513370675551}",
Myeloid DCs_tumorfront_celldistance,,,"{'Statistic': 1932.0, 'p-value': 2.649621163171266e-07}",
Myeloid Monocytes_tumorfront_celldistance,,,"{'Statistic': 2151.0, 'p-value': 9.09933919671706e-06}",
Tumor non-proliferating_intratumor_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 2502.0, 'p-value': 0.0009464203824919384}"
Tumor non-proliferating_intratumor_aggregatedNeighbors.Tumor.proliferating,,,,"{'Statistic': 1836.0, 'p-value': 4.951854684962999e-08}"
Tumor non-proliferating_intratumor_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 1038.0, 'p-value': 1.0057889568128535e-15}"
Tumor non-proliferating_stromal_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 2043.0, 'p-value': 1.6149399818446668e-06}"
Tumor non-proliferating_stromal_aggregatedNeighbors.Vessel,,,,"{'Statistic': 2301.0, 'p-value': 7.624379110112898e-05}"
Tumor non-proliferating_stromal_aggregatedNeighbors.Fibroblasts,,,,"{'Statistic': 1803.0, 'p-value': 2.604698510126474e-08}"
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.naive,,,,"{'Statistic': 1245.0, 'p-value': 1.245011578884553e-13}"
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.memory,,,,"{'Statistic': 1542.0, 'p-value': 1.3877112322063798e-10}"
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,,,,"{'Statistic': 651.0, 'p-value': 7.05022371736338e-21}"
Tumor non-proliferating_stromal_aggregatedNeighbors.B.cells,,,,"{'Statistic': 639.0, 'p-value': 5.3536663461624846e-21}"
Tumor non-proliferating_stromal_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 1503.0, 'p-value': 5.73115789146315e-11}"
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,,,,"{'Statistic': 1824.0, 'p-value': 3.7344229577309516e-08}"
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,,,,"{'Statistic': 1605.0, 'p-value': 4.892196986514212e-10}"
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Granulocytes,,,,"{'Statistic': 819.0, 'p-value': 1.4450971837060673e-18}"
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.DCs,,,,"{'Statistic': 1122.0, 'p-value': 5.549682712498287e-15}"
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Monocytes,,,,"{'Statistic': 954.0, 'p-value': 7.50626987196059e-17}"
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 2343.0, 'p-value': 0.00013422770471696192}"
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Tumor.proliferating,,,,"{'Statistic': 2019.0, 'p-value': 1.1557420454989587e-06}"
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Vessel,,,,"{'Statistic': 1926.0, 'p-value': 2.4316600604525294e-07}"
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Fibroblasts,,,,"{'Statistic': 2217.0, 'p-value': 2.391861050492575e-05}"
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,,,,"{'Statistic': 1902.0, 'p-value': 1.5697967225730221e-07}"
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,,,,"{'Statistic': 1632.0, 'p-value': 9.9059584529213e-10}"
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,,,,"{'Statistic': 1302.0, 'p-value': 6.90938669525781e-13}"
Tumor non-proliferating_tumorfront_aggregatedNeighbors.B.cells,,,,"{'Statistic': 825.0, 'p-value': 2.46604272177679e-18}"
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 1179.0, 'p-value': 3.702005311522645e-14}"
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,,,,"{'Statistic': 1728.0, 'p-value': 6.584230171871525e-09}"
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,,,,"{'Statistic': 2082.0, 'p-value': 3.1598330158275734e-06}"
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,,,,"{'Statistic': 1017.0, 'p-value': 5.564701869811364e-16}"
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.DCs,,,,"{'Statistic': 1836.0, 'p-value': 4.8011256829312324e-08}"
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,,,,"{'Statistic': 1515.0, 'p-value': 8.699009620056721e-11}"
Tumor proliferating_intratumor_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 2556.0, 'p-value': 0.001736390797722031}"
Tumor proliferating_intratumor_aggregatedNeighbors.Tumor.proliferating,,,,"{'Statistic': 2463.0, 'p-value': 0.0005991858355220452}"
Tumor proliferating_intratumor_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 999.0, 'p-value': 3.065129528314077e-16}"
Tumor proliferating_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 2421.0, 'p-value': 0.00036092077416953174}"
Tumor proliferating_tumorfront_aggregatedNeighbors.Tumor.proliferating,,,,"{'Statistic': 2322.0, 'p-value': 0.00010175518198187052}"
Tumor proliferating_tumorfront_aggregatedNeighbors.Vessel,,,,"{'Statistic': 1959.0, 'p-value': 4.262334753660119e-07}"
Tumor proliferating_tumorfront_aggregatedNeighbors.Fibroblasts,,,,"{'Statistic': 1713.0, 'p-value': 4.894544399681914e-09}"
Tumor proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,,,,"{'Statistic': 1605.0, 'p-value': 4.6398814694355874e-10}"
Tumor proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,,,,"{'Statistic': 1734.0, 'p-value': 7.121733699996283e-09}"
Tumor proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,,,,"{'Statistic': 864.0, 'p-value': 4.920835205327743e-18}"
Tumor proliferating_tumorfront_aggregatedNeighbors.B.cells,,,,"{'Statistic': 348.0, 'p-value': 4.1257704073577304e-25}"
Tumor proliferating_tumorfront_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 1083.0, 'p-value': 3.1832973391682913e-15}"
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,,,,"{'Statistic': 1599.0, 'p-value': 4.805539621293836e-10}"
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,,,,"{'Statistic': 1980.0, 'p-value': 5.811792235329252e-07}"
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,,,,"{'Statistic': 954.0, 'p-value': 8.327040981120495e-17}"
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.DCs,,,,"{'Statistic': 1071.0, 'p-value': 1.620705806163236e-15}"
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,,,,"{'Statistic': 1632.0, 'p-value': 9.555889191939869e-10}"
Vessel_stromal_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 567.0, 'p-value': 1.326630451768658e-21}"
Vessel_stromal_aggregatedNeighbors.Vessel,,,,"{'Statistic': 2577.0, 'p-value': 0.0021824954622351195}"
Vessel_stromal_aggregatedNeighbors.Fibroblasts,,,,"{'Statistic': 2043.0, 'p-value': 1.7038886569339352e-06}"
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.naive,,,,"{'Statistic': 2037.0, 'p-value': 1.5442412907086568e-06}"
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.memory,,,,"{'Statistic': 2244.0, 'p-value': 3.507679085552137e-05}"
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,,,,"{'Statistic': 1374.0, 'p-value': 3.71455189348614e-12}"
Vessel_stromal_aggregatedNeighbors.B.cells,,,,"{'Statistic': 1257.0, 'p-value': 2.469150220264026e-13}"
Vessel_stromal_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 1650.0, 'p-value': 1.424818175769755e-09}"
Vessel_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,,,,"{'Statistic': 1785.0, 'p-value': 1.9379931964523484e-08}"
Vessel_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,,,,"{'Statistic': 2283.0, 'p-value': 6.020671593557624e-05}"
Vessel_stromal_aggregatedNeighbors.Myeloid.Granulocytes,,,,"{'Statistic': 1089.0, 'p-value': 3.799489439307649e-15}"
Vessel_stromal_aggregatedNeighbors.Myeloid.DCs,,,,"{'Statistic': 1566.0, 'p-value': 2.511748728791956e-10}"
Vessel_stromal_aggregatedNeighbors.Myeloid.Monocytes,,,,"{'Statistic': 1662.0, 'p-value': 1.8103514346213357e-09}"
Vessel_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 2016.0, 'p-value': 1.1005574753378483e-06}"
Vessel_tumorfront_aggregatedNeighbors.Tumor.proliferating,,,,"{'Statistic': 2031.0, 'p-value': 1.4004448355536003e-06}"
Vessel_tumorfront_aggregatedNeighbors.Vessel,,,,"{'Statistic': 2982.0, 'p-value': 0.07865006096609295}"
Vessel_tumorfront_aggregatedNeighbors.Fibroblasts,,,,"{'Statistic': 2115.0, 'p-value': 5.273762069031953e-06}"
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,,,,"{'Statistic': 1863.0, 'p-value': 7.993792462791509e-08}"
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,,,,"{'Statistic': 1707.0, 'p-value': 4.386587181035859e-09}"
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,,,,"{'Statistic': 1488.0, 'p-value': 4.694269343653068e-11}"
Vessel_tumorfront_aggregatedNeighbors.B.cells,,,,"{'Statistic': 831.0, 'p-value': 2.9187719829662043e-18}"
Vessel_tumorfront_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 1314.0, 'p-value': 9.616117703308633e-13}"
Vessel_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,,,,"{'Statistic': 1410.0, 'p-value': 8.709465369496131e-12}"
Vessel_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,,,,"{'Statistic': 2121.0, 'p-value': 5.778035422389263e-06}"
Vessel_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,,,,"{'Statistic': 966.0, 'p-value': 1.4454221729111952e-16}"
Vessel_tumorfront_aggregatedNeighbors.Myeloid.DCs,,,,"{'Statistic': 1728.0, 'p-value': 6.249611904595835e-09}"
Vessel_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,,,,"{'Statistic': 1806.0, 'p-value': 2.8599309863588153e-08}"
Fibroblasts_stromal_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 987.0, 'p-value': 2.46438516857061e-16}"
Fibroblasts_stromal_aggregatedNeighbors.Vessel,,,,"{'Statistic': 2424.0, 'p-value': 0.00037447860060737154}"
Fibroblasts_stromal_aggregatedNeighbors.Fibroblasts,,,,"{'Statistic': 2430.0, 'p-value': 0.00040301648222187866}"
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.naive,,,,"{'Statistic': 1974.0, 'p-value': 5.475189246325584e-07}"
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.memory,,,,"{'Statistic': 2418.0, 'p-value': 0.0003478416266038455}"
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,,,,"{'Statistic': 1992.0, 'p-value': 7.361834420241498e-07}"
Fibroblasts_stromal_aggregatedNeighbors.B.cells,,,,"{'Statistic': 1149.0, 'p-value': 1.7230487920773942e-14}"
Fibroblasts_stromal_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 1515.0, 'p-value': 8.705374568498145e-11}"
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,,,,"{'Statistic': 1893.0, 'p-value': 1.3695600714814233e-07}"
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,,,,"{'Statistic': 2313.0, 'p-value': 9.029724238317261e-05}"
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.Granulocytes,,,,"{'Statistic': 1050.0, 'p-value': 1.3764556177521674e-15}"
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.DCs,,,,"{'Statistic': 1482.0, 'p-value': 4.155482443516978e-11}"
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.Monocytes,,,,"{'Statistic': 1779.0, 'p-value': 1.7317884526978308e-08}"
Fibroblasts_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 2151.0, 'p-value': 9.09933919671706e-06}"
Fibroblasts_tumorfront_aggregatedNeighbors.Tumor.proliferating,,,,"{'Statistic': 2043.0, 'p-value': 1.6920367728068548e-06}"
Fibroblasts_tumorfront_aggregatedNeighbors.Vessel,,,,"{'Statistic': 2352.0, 'p-value': 0.00015091704085971728}"
Fibroblasts_tumorfront_aggregatedNeighbors.Fibroblasts,,,,"{'Statistic': 2565.0, 'p-value': 0.00191636888394757}"
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,,,,"{'Statistic': 1638.0, 'p-value': 1.0929225704023972e-09}"
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,,,,"{'Statistic': 1587.0, 'p-value': 3.9529217044042274e-10}"
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,,,,"{'Statistic': 1347.0, 'p-value': 1.842872997019087e-12}"
Fibroblasts_tumorfront_aggregatedNeighbors.B.cells,,,,"{'Statistic': 573.0, 'p-value': 1.1826055659615267e-21}"
Fibroblasts_tumorfront_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 1359.0, 'p-value': 2.7227790952495907e-12}"
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,,,,"{'Statistic': 1818.0, 'p-value': 3.565284931973597e-08}"
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,,,,"{'Statistic': 2112.0, 'p-value': 5.034886087124186e-06}"
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,,,,"{'Statistic': 864.0, 'p-value': 7.827126418921045e-18}"
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.DCs,,,,"{'Statistic': 1218.0, 'p-value': 8.443386364613165e-14}"
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,,,,"{'Statistic': 1566.0, 'p-value': 2.545201427561917e-10}"
CD4 T cells naive_stromal_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 948.0, 'p-value': 5.606362828837176e-17}"
CD4 T cells naive_stromal_aggregatedNeighbors.Vessel,,,,"{'Statistic': 2334.0, 'p-value': 0.00011914176319414688}"
CD4 T cells naive_stromal_aggregatedNeighbors.Fibroblasts,,,,"{'Statistic': 2025.0, 'p-value': 1.2684088690305655e-06}"
CD4 T cells naive_stromal_aggregatedNeighbors.CD4.T.cells.naive,,,,"{'Statistic': 2625.0, 'p-value': 0.003605325977830856}"
CD4 T cells naive_stromal_aggregatedNeighbors.CD4.T.cells.memory,,,,"{'Statistic': 2238.0, 'p-value': 3.2188121946633785e-05}"
CD4 T cells naive_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,,,,"{'Statistic': 1554.0, 'p-value': 1.895623201716531e-10}"
CD4 T cells naive_stromal_aggregatedNeighbors.B.cells,,,,"{'Statistic': 1728.0, 'p-value': 6.459494145442768e-09}"
CD4 T cells naive_stromal_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 1662.0, 'p-value': 1.789601247378556e-09}"
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,,,,"{'Statistic': 1650.0, 'p-value': 1.4170336319614513e-09}"
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,,,,"{'Statistic': 2205.0, 'p-value': 2.0073389652841665e-05}"
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.Granulocytes,,,,"{'Statistic': 1257.0, 'p-value': 2.369121226559134e-13}"
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.DCs,,,,"{'Statistic': 1308.0, 'p-value': 7.801127770858332e-13}"
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.Monocytes,,,,"{'Statistic': 1689.0, 'p-value': 3.0372201182975913e-09}"
CD4 T cells naive_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 2322.0, 'p-value': 0.00010088551192945585}"
CD4 T cells naive_tumorfront_aggregatedNeighbors.Tumor.proliferating,,,,"{'Statistic': 1218.0, 'p-value': 7.190756962876359e-14}"
CD4 T cells naive_tumorfront_aggregatedNeighbors.Vessel,,,,"{'Statistic': 2295.0, 'p-value': 7.058864683891374e-05}"
CD4 T cells naive_tumorfront_aggregatedNeighbors.Fibroblasts,,,,"{'Statistic': 1914.0, 'p-value': 1.9276384618112692e-07}"
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,,,,"{'Statistic': 2154.0, 'p-value': 8.886096565552208e-06}"
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,,,,"{'Statistic': 1881.0, 'p-value': 1.0683004229304148e-07}"
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,,,,"{'Statistic': 1251.0, 'p-value': 1.625921138569442e-13}"
CD4 T cells naive_tumorfront_aggregatedNeighbors.B.cells,,,,"{'Statistic': 741.0, 'p-value': 1.548518948318848e-19}"
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 1728.0, 'p-value': 6.3987131793530346e-09}"
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,,,,"{'Statistic': 1611.0, 'p-value': 6.249523377836614e-10}"
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,,,,"{'Statistic': 2412.0, 'p-value': 0.0003201422927210834}"
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,,,,"{'Statistic': 1239.0, 'p-value': 1.3427297398214645e-13}"
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.DCs,,,,"{'Statistic': 1671.0, 'p-value': 1.8626377159610434e-09}"
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,,,,"{'Statistic': 1875.0, 'p-value': 9.370137866833379e-08}"
CD4 T cells memory_stromal_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 780.0, 'p-value': 7.011315801694958e-19}"
CD4 T cells memory_stromal_aggregatedNeighbors.Vessel,,,,"{'Statistic': 1848.0, 'p-value': 6.151096715417768e-08}"
CD4 T cells memory_stromal_aggregatedNeighbors.Fibroblasts,,,,"{'Statistic': 2205.0, 'p-value': 2.012906803382957e-05}"
CD4 T cells memory_stromal_aggregatedNeighbors.CD4.T.cells.naive,,,,"{'Statistic': 2031.0, 'p-value': 1.4022184338134286e-06}"
CD4 T cells memory_stromal_aggregatedNeighbors.CD4.T.cells.memory,,,,"{'Statistic': 2469.0, 'p-value': 0.0006438883941706502}"
CD4 T cells memory_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,,,,"{'Statistic': 1986.0, 'p-value': 6.585724082922109e-07}"
CD4 T cells memory_stromal_aggregatedNeighbors.B.cells,,,,"{'Statistic': 1398.0, 'p-value': 6.553506185291877e-12}"
CD4 T cells memory_stromal_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 1875.0, 'p-value': 9.96054261122649e-08}"
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,,,,"{'Statistic': 1998.0, 'p-value': 8.178277901069602e-07}"
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,,,,"{'Statistic': 2250.0, 'p-value': 3.809864316137688e-05}"
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.Granulocytes,,,,"{'Statistic': 1212.0, 'p-value': 8.213234113148708e-14}"
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.DCs,,,,"{'Statistic': 2115.0, 'p-value': 5.220623016617074e-06}"
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.Monocytes,,,,"{'Statistic': 1791.0, 'p-value': 2.160689060350325e-08}"
CD4 T cells memory_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 1920.0, 'p-value': 2.188674279710196e-07}"
CD4 T cells memory_tumorfront_aggregatedNeighbors.Tumor.proliferating,,,,"{'Statistic': 1908.0, 'p-value': 1.727537565732238e-07}"
CD4 T cells memory_tumorfront_aggregatedNeighbors.Vessel,,,,"{'Statistic': 2643.0, 'p-value': 0.004351880443379196}"
CD4 T cells memory_tumorfront_aggregatedNeighbors.Fibroblasts,,,,"{'Statistic': 1881.0, 'p-value': 1.1076390416663529e-07}"
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,,,,"{'Statistic': 1902.0, 'p-value': 1.5547836789810953e-07}"
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,,,,"{'Statistic': 2205.0, 'p-value': 2.0052604439338784e-05}"
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,,,,"{'Statistic': 1818.0, 'p-value': 3.4075506167272114e-08}"
CD4 T cells memory_tumorfront_aggregatedNeighbors.B.cells,,,,"{'Statistic': 1167.0, 'p-value': 2.0940930663744562e-14}"
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD8.T.cells,,,,"{'Statistic': 1836.0, 'p-value': 4.9133719560240695e-08}"
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,,,,"{'Statistic': 1914.0, 'p-value': 1.9688444572752012e-07}"
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,,,,"{'Statistic': 1746.0, 'p-value': 8.976849360146984e-09}"
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,,,,"{'Statistic': 1167.0, 'p-value': 2.5485340679750215e-14}"
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.DCs,,,,"{'Statistic': 1779.0, 'p-value': 1.598667812382629e-08}"
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,,,,"{'Statistic': 1818.0, 'p-value': 3.5055371005319705e-08}"
CD4 T cells regulatory_stromal_aggregatedNeighbors.Tumor.non.proliferating,,,,"{'Statistic': 651.0, 'p-value': 7.612430023047695e-21}"
CD4 T cells regulatory_stromal_aggregatedNeighbors.Vessel,,,,"{'Statistic': 2346.0, 'p-value': 0.00013877851511325817}"
CD4 T cells regulatory_stromal_aggregatedNeighbors.Fibroblasts,,,,"{'Statistic': 2031.0, 'p-value': 1.391472767618612e-06}"
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD4.T.cells.naive,,,,"{'Statistic': 1734.0, 'p-value': 7.044829048021691e-09}"
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD4.T.cells.memory,,,,"{'Statistic': 2145.0, 'p-value': 8.184892993517844e-06}"
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,,,,"{'Statistic': 1380.0, 'p-value': 3.313482764275015e-12}"
CD4 T cells regulatory_stromal_aggregatedNeighbors.B.cells,,,,"{'Statistic': 1302.0, 'p-value': 6.109484488609815e-13}"
