,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Fibroblasts,81,-0.00570295,0.550618463,0.602068014,0.977884134
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,64,-0.002072483,0.730644021,0.685068995,0.977884134
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,82,-0.007071548,0.168398146,0.562342605,0.977884134
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,78,-0.000963734,0.222658762,0.726117483,0.977884134
Tumor non-proliferating_tumorfront_aggregatedNeighbors.B.cells,91.5,-0.000426865,0.667956961,0.257539142,0.977884134
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD8.T.cells,83,-0.031262506,0.162328172,0.523928145,0.977884134
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,64,0.006455423,0.306802462,0.684809509,0.977884134
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.DCs,61,0.001532885,0.356721381,0.560633375,0.977884134
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,49,0.004302859,0.278773939,0.202449437,0.977884134
Tumor proliferating_intratumor_aggregatedNeighbors.Vessel,86,-0.000650837,0.708703834,0.253399965,0.977884134
Tumor proliferating_intratumor_aggregatedNeighbors.CD8.T.cells,75,-0.037245372,0.189364453,0.860321423,0.977884134
Tumor proliferating_tumorfront_aggregatedNeighbors.Tumor.proliferating,46.5,0.051364668,0.439099925,0.155589362,0.977884134
Tumor proliferating_tumorfront_aggregatedNeighbors.Vessel,75,-0.018959988,0.373004254,0.861985364,0.977884134
Tumor proliferating_tumorfront_aggregatedNeighbors.Fibroblasts,62,0.002800258,0.696712149,0.601276192,0.977884134
Tumor proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,88,-0.007753251,0.222332831,0.347997732,0.977884134
Tumor proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,84,-0.000357963,0.581414005,0.386749392,0.977884134
Tumor proliferating_tumorfront_aggregatedNeighbors.B.cells,79,0.002331678,0.40543235,0.628929938,0.977884134
Tumor proliferating_tumorfront_aggregatedNeighbors.CD8.T.cells,74,-0.039675977,0.261483877,0.907351229,0.977884134
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,53,0.0052128,0.188255003,0.284090364,0.977884134
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,58,0.005486583,0.350380446,0.411684993,0.977884134
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.DCs,61,0.001146032,0.434150814,0.505344773,0.977884134
Vessel_intratumor_aggregatedNeighbors.Tumor.non.proliferating,63,0.092947608,0.599635111,0.635718161,0.977884134
Vessel_intratumor_aggregatedNeighbors.Vessel,70.5,-0.024164724,0.555436798,0.964420756,0.977884134
Vessel_intratumor_aggregatedNeighbors.CD8.T.cells,65,0.005194805,0.28680492,0.315624301,0.977884134
Vessel_stromal_aggregatedNeighbors.Vessel,42,0.057248444,0.1563646,0.092926222,0.977884134
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.memory,80,-0.01338733,0.417177845,0.643011484,0.977884134
Vessel_stromal_aggregatedNeighbors.B.cells,73,0.004981069,0.614932279,0.953799173,0.977884134
Vessel_stromal_aggregatedNeighbors.CD8.T.cells,77,-0.005859311,0.678842021,0.77205897,0.977884134
Vessel_stromal_aggregatedNeighbors.Myeloid.Granulocytes,51,0.020554181,0.303559709,0.246565884,0.977884134
Vessel_stromal_aggregatedNeighbors.Myeloid.DCs,73,-0.001114961,0.551524347,0.95375899,0.977884134
Vessel_tumorfront_aggregatedNeighbors.Tumor.proliferating,71,0.004790288,0.724832268,1,0.977884134
Vessel_tumorfront_aggregatedNeighbors.Fibroblasts,69,0.011356363,0.654414596,0.907753122,0.977884134
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,85,-0.01794439,0.182719915,0.451344702,0.977884134
Vessel_tumorfront_aggregatedNeighbors.B.cells,73,0.002228289,0.592001507,0.95375899,0.977884134
Vessel_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,75,-0.003128678,0.495560771,0.86201507,0.977884134
Vessel_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,74.5,0.01188244,0.318726883,0.884811253,0.977884134
Vessel_tumorfront_aggregatedNeighbors.Myeloid.DCs,66,0.003631238,0.290825311,0.771089182,0.977884134
Fibroblasts_stromal_aggregatedNeighbors.Tumor.non.proliferating,78,-0.004915177,0.322014177,0.728126128,0.977884134
Fibroblasts_stromal_aggregatedNeighbors.Vessel,49,0.029760603,0.256963045,0.202449437,0.977884134
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.memory,75,-0.007028398,0.706738591,0.86201507,0.977884134
Fibroblasts_stromal_aggregatedNeighbors.CD8.T.cells,84,-0.012808789,0.405646983,0.486905816,0.977884134
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,73,0.008667808,0.535864397,0.953799173,0.977884134
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.Granulocytes,58,0.014781825,0.312506713,0.451344702,0.977884134
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.Monocytes,62,0.002509082,0.672838487,0.602068014,0.977884134
Fibroblasts_tumorfront_aggregatedNeighbors.Tumor.proliferating,74,0.010600732,0.644805952,0.90755283,0.977884134
Fibroblasts_tumorfront_aggregatedNeighbors.Vessel,42,0.036566972,0.154407372,0.092926222,0.977884134
Fibroblasts_tumorfront_aggregatedNeighbors.Fibroblasts,82,-0.03779356,0.456095765,0.562342605,0.977884134
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,59,0.01678671,0.52017452,0.486905816,0.977884134
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,76,-0.015644218,0.395019377,0.816735158,0.977884134
Fibroblasts_tumorfront_aggregatedNeighbors.B.cells,49,0.002681853,0.206364093,0.200481074,0.977884134
Fibroblasts_tumorfront_aggregatedNeighbors.CD8.T.cells,78,-0.012956372,0.403800988,0.728126128,0.977884134
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,84,-0.003334636,0.565443487,0.486905816,0.977884134
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,71.5,0.009050643,0.389360996,1,0.977884134
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.DCs,69,0.001589017,0.610198286,0.904271404,0.977884134
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,47,0.006858421,0.629010965,0.164384048,0.977884134
CD4 T cells naive_stromal_aggregatedNeighbors.Tumor.non.proliferating,85,-0.004325313,0.209699026,0.449366683,0.977884134
CD4 T cells naive_stromal_aggregatedNeighbors.Vessel,54,0.020560831,0.53632614,0.324662739,0.977884134
CD4 T cells naive_stromal_aggregatedNeighbors.Fibroblasts,86,-0.019783139,0.657167454,0.41730156,0.977884134
CD4 T cells naive_stromal_aggregatedNeighbors.CD4.T.cells.memory,66,0.009595041,0.731488132,0.77205897,0.977884134
CD4 T cells naive_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,48,0.002751243,0.36554485,0.181730135,0.977884134
CD4 T cells naive_stromal_aggregatedNeighbors.B.cells,67,0.00543069,0.667875121,0.816735158,0.977884134
CD4 T cells naive_stromal_aggregatedNeighbors.CD8.T.cells,74,-0.010625565,0.701361564,0.907753122,0.977884134
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,67,0.007863785,0.558651137,0.816735158,0.977884134
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.Granulocytes,53,0.024789192,0.285630111,0.297014144,0.977884134
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.DCs,61,-0.001315552,0.704549702,0.562002346,0.977884134
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.Monocytes,50,0.012159731,0.152811381,0.223730763,0.977884134
CD4 T cells naive_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,57,0.027498581,0.220125334,0.41730156,0.977884134
CD4 T cells naive_tumorfront_aggregatedNeighbors.Tumor.proliferating,67.5,0.009710489,0.610837506,0.836333642,0.977884134
CD4 T cells naive_tumorfront_aggregatedNeighbors.Fibroblasts,80,-0.039198673,0.365252509,0.643011484,0.977884134
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,62.5,0.017143121,0.602979556,0.62224232,0.977884134
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,52,0.002787596,0.337439767,0.258187432,0.977884134
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,89.5,-0.00483444,0.303927348,0.310424997,0.977884134
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,62,0.013397705,0.316696294,0.597572171,0.977884134
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.DCs,69,0.002765759,0.528590977,0.905259875,0.977884134
CD4 T cells memory_stromal_aggregatedNeighbors.CD4.T.cells.naive,56,0.021298716,0.521680355,0.384820774,0.977884134
CD4 T cells memory_stromal_aggregatedNeighbors.CD4.T.cells.memory,67,0.016654771,0.673896277,0.816735158,0.977884134
CD4 T cells memory_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,67.5,0.001601686,0.66338478,0.838962944,0.977884134
CD4 T cells memory_stromal_aggregatedNeighbors.B.cells,56,0.00657128,0.678279306,0.384820774,0.977884134
CD4 T cells memory_stromal_aggregatedNeighbors.CD8.T.cells,81,-0.014290673,0.594483845,0.602068014,0.977884134
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,73,0.004281827,0.688324672,0.953789137,0.977884134
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.Granulocytes,54.5,0.019513534,0.326337549,0.338990955,0.977884134
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.DCs,64.5,-0.001364879,0.547352847,0.706419275,0.977884134
CD4 T cells memory_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,62,0.024615232,0.389524304,0.602068014,0.977884134
CD4 T cells memory_tumorfront_aggregatedNeighbors.Tumor.proliferating,71,-0.00543212,0.669931416,1,0.977884134
CD4 T cells memory_tumorfront_aggregatedNeighbors.Vessel,47,0.033439368,0.149700336,0.164384048,0.977884134
CD4 T cells memory_tumorfront_aggregatedNeighbors.Fibroblasts,77,-0.016940055,0.642315651,0.772010773,0.977884134
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,59,0.018155824,0.471561189,0.486811089,0.977884134
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,54,0.002062477,0.582723537,0.318698928,0.977884134
CD4 T cells memory_tumorfront_aggregatedNeighbors.B.cells,67,0.002270441,0.717113425,0.813315562,0.977884134
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,70,0.007474403,0.492735822,0.952932667,0.977884134
