,Statistic,p-value ttest,p-value mannwhitneyu
CD8.T.cells.naive_tumorfront_pNFkB,661.0,0.30632266296154587,0.6727418586547984
CD8.T.cells.naive_tumorfront_Ki67,632.0,0.7163342580174349,0.9308368083603332
CD8.T.cells.naive_tumorfront_GranzymeB,611.0,0.9852517503204015,0.8849845226396358
CD8.T.cells.naive_tumorfront_pCREB,606.0,0.8840439180328048,0.8395143056288643
CD8.T.cells.naive_tumorfront_pERK,587.0,0.26696882557553087,0.6727418586547984
CD8.T.cells.naive_tumorfront_pSTAT1,783.0,0.024005371855548446,0.0666235270658703
CD8.T.cells.naive_tumorfront_pSTAT3,655.0,0.18120355948339875,0.724122679517521
CD8.T.cells.naive_tumorfront_pp38,667.0,0.3369390006759875,0.6228454607014038
CD8.T.cells.naive_tumorfront_VEGF,649.0,0.5377436605821666,0.7767777230292354
CD8.T.cells.naive_tumorfront_pS6,593.0,0.8709721330175513,0.724122679517521
CD8.T.cells.naive_tumorfront_CD36,631.0,0.16910396501870126,0.9400398506401427
CD8.T.cells.naive_tumorfront_E.Cadherin,721.0,0.3416576691171266,0.264112201465043
CD8.T.cells.naive_tumorfront_CD44,765.0,0.035381718191161496,0.10397000029029956
DCs_intratumor_pMAPKAPK2,535.0,0.3545516503980962,0.2832778593739673
DCs_intratumor_pNFkB,625.0,0.9739667004671122,0.995163203961837
DCs_intratumor_Ki67,585.0,0.28200179762104693,0.6406581645758762
DCs_intratumor_GranzymeB,644.0,0.8564306513237822,0.8131064544692435
DCs_intratumor_pCREB,576.0,0.6002493696846396,0.5646855549458117
DCs_intratumor_pERK,516.0,0.0415156007326973,0.19245757566668686
DCs_intratumor_pSTAT1,656.0,0.5289194420825416,0.7025281931385434
DCs_intratumor_pSTAT3,623.0,0.9725427171404277,0.995163203961837
DCs_intratumor_pp38,597.0,0.9113001200864835,0.7479911756143034
DCs_intratumor_VEGF,606.0,0.7715662905527741,0.8319727180602088
DCs_intratumor_pS6,638.0,0.8746817200990404,0.8699864689706448
DCs_intratumor_CD36,656.0,0.6501486362661305,0.7025281931385434
DCs_intratumor_E.Cadherin,651.0,0.588648735136095,0.7479911756143034
DCs_intratumor_CD44,589.0,0.9724603482079075,0.6757407461781665
DCs_tumorfront_pMAPKAPK2,540.0,0.42901977287693427,0.32728292579388885
DCs_tumorfront_pNFkB,586.0,0.7994247625485632,0.6599800299737932
DCs_tumorfront_Ki67,675.0,0.8566472571345901,0.5535469322839824
DCs_tumorfront_GranzymeB,590.0,0.7912862222089536,0.6943093439834315
DCs_tumorfront_pCREB,543.0,0.41773762248898194,0.34496215714562894
DCs_tumorfront_pERK,537.0,0.1082731934471804,0.3102027784452781
DCs_tumorfront_pSTAT1,649.0,0.8344737961051638,0.7737846638498399
DCs_tumorfront_pSTAT3,632.0,0.7685418305976784,0.9298860965411608
DCs_tumorfront_pp38,549.0,0.5357198381281165,0.38210975914510437
DCs_tumorfront_VEGF,520.0,0.2732657401371642,0.22465745086206745
DCs_tumorfront_pS6,595.0,0.7539634964902118,0.7381117219062145
DCs_tumorfront_CD36,644.0,0.5304493981928265,0.8190483196802611
DCs_tumorfront_E.Cadherin,643.0,0.749102729526749,0.8281791748179094
DCs_tumorfront_CD44,716.0,0.26074252486415733,0.28306683963623147
Fibroblasts_stromal_pMAPKAPK2,534.0,0.6251970903201626,0.3010030682553444
Fibroblasts_stromal_pNFkB,500.0,0.17330366809785375,0.15352300952725412
Fibroblasts_stromal_Ki67,500.0,0.07135701094470547,0.15352300952725412
Fibroblasts_stromal_GranzymeB,496.0,0.07047501961352398,0.14063717495834543
Fibroblasts_stromal_pCREB,456.0,0.1549901492343948,0.0529078172873177
Fibroblasts_stromal_pERK,433.0,0.04990136172370619,0.027703022551932625
Fibroblasts_stromal_pSTAT1,637.0,0.8710930030457686,0.8851426286281112
Fibroblasts_stromal_pSTAT3,540.0,0.2570590304467153,0.3345712503307764
Fibroblasts_stromal_pp38,526.0,0.1795358746256015,0.259854635493349
Fibroblasts_stromal_VEGF,474.0,0.1837721065935079,0.08404920137725867
Fibroblasts_stromal_pS6,375.0,0.002351914652521719,0.004082327018406239
Fibroblasts_stromal_CD36,598.0,0.6409786720896757,0.7682349207293218
Fibroblasts_stromal_E.Cadherin,551.0,0.38402347576441953,0.4021270739960475
Fibroblasts_stromal_CD44,758.0,0.11196472693451322,0.12288903724039862
Fibroblasts_tumorfront_pMAPKAPK2,520.0,0.2633941670300216,0.2316683468451184
Fibroblasts_tumorfront_pNFkB,486.0,0.11738944807971177,0.11206379345459697
Fibroblasts_tumorfront_Ki67,539.0,0.1056514556591989,0.3288150289447912
Fibroblasts_tumorfront_GranzymeB,485.0,0.041445064763523984,0.1094785766123914
