,Statistic,p-value ttest,p-value mannwhitneyu
CD8.T.cells.naive_intratumor_pS6,904.5,0.0004688656983908867,0.0007272496184278213
CD8.T.cells.naive_intratumor_CD36,892.5,0.0027417222084733053,0.0012331258151141084
CD8.T.cells.naive_intratumor_E.Cadherin,898.5,0.0006827713013490416,0.0009494255573829252
CD8.T.cells.naive_intratumor_CD44,870.5,0.003473083192305459,0.0030784786396655314
CD8.T.cells.naive_stromal_pMAPKAPK2,787.0,0.03309683247455267,0.07158718365795197
CD8.T.cells.naive_stromal_pNFkB,839.0,0.015869448503547424,0.016377436974953564
CD8.T.cells.naive_stromal_Ki67,898.0,0.009140015230762586,0.0020724949421490383
CD8.T.cells.naive_stromal_GranzymeB,814.0,0.10303697927962326,0.034636997482944375
CD8.T.cells.naive_stromal_pCREB,798.0,0.04166937028921325,0.053808622065590214
CD8.T.cells.naive_stromal_pERK,714.0,0.30311740162402184,0.33639690683112944
CD8.T.cells.naive_stromal_pSTAT1,907.0,0.001160934362188547,0.0014562869373724138
CD8.T.cells.naive_stromal_pSTAT3,872.0,0.004462368609456079,0.005430663073195191
CD8.T.cells.naive_stromal_pp38,782.0,0.16848754972062013,0.08112925557157255
CD8.T.cells.naive_stromal_VEGF,827.0,0.008711593194848764,0.023682471138971112
CD8.T.cells.naive_stromal_pS6,731.0,0.1700315395880316,0.2472623889782094
CD8.T.cells.naive_stromal_CD36,793.0,0.1086085143248593,0.06137133682292179
CD8.T.cells.naive_stromal_E.Cadherin,868.0,0.0016623972185022126,0.006252034005256323
CD8.T.cells.naive_stromal_CD44,904.0,0.0012616413427851876,0.0016398826852448167
CD8.T.cells.naive_tumorfront_pMAPKAPK2,765.0,0.6365547735053392,0.11975761854720887
CD8.T.cells.naive_tumorfront_pNFkB,823.0,0.03889608166860613,0.025967945273994243
CD8.T.cells.naive_tumorfront_Ki67,736.0,0.19013228024761444,0.22233516563286126
CD8.T.cells.naive_tumorfront_GranzymeB,832.0,0.027585597191574735,0.019764128041454557
CD8.T.cells.naive_tumorfront_pCREB,824.0,0.039962493924247486,0.025204233250175696
CD8.T.cells.naive_tumorfront_pERK,697.0,0.7791393331146219,0.44176244610592397
CD8.T.cells.naive_tumorfront_pSTAT1,726.0,0.1755991952452702,0.2693026138852461
CD8.T.cells.naive_tumorfront_pSTAT3,921.0,0.0003469480401125462,0.0007786383902085831
CD8.T.cells.naive_tumorfront_pp38,857.0,0.03261438633342469,0.008793583788119605
CD8.T.cells.naive_tumorfront_VEGF,770.0,0.03979478233817492,0.10660816502477136
CD8.T.cells.naive_tumorfront_pS6,770.0,0.14068030118244762,0.10660816502477136
CD8.T.cells.naive_tumorfront_CD36,820.0,0.18142036029618644,0.02838029139981419
CD8.T.cells.naive_tumorfront_E.Cadherin,759.0,0.16675360345874835,0.13717641402875463
CD8.T.cells.naive_tumorfront_CD44,781.0,0.07534149126846576,0.08170683160486855
DCs_intratumor_pMAPKAPK2,642.0,0.27390415393157264,0.8929553032153844
DCs_intratumor_pNFkB,727.0,0.21374715848590095,0.258821356591731
DCs_intratumor_Ki67,721.0,0.2189611481067365,0.28961201016878646
DCs_intratumor_GranzymeB,694.0,0.3930367206987103,0.4574596396063012
DCs_intratumor_pCREB,757.0,0.22313858870996847,0.1388139761562652
DCs_intratumor_pERK,706.0,0.3557836054426601,0.37699170928597714
DCs_intratumor_pSTAT1,689.0,0.46161156155011684,0.49364080337958693
DCs_intratumor_pSTAT3,780.0,0.11729177445036708,0.08022994592495274
DCs_intratumor_pp38,729.0,0.5373356901579247,0.24908116086471666
DCs_intratumor_VEGF,778.0,0.08030411039009548,0.08435628129350319
DCs_intratumor_pS6,708.0,0.3584343469850376,0.36448323944318517
DCs_intratumor_CD36,675.0,0.32528032684678065,0.6025684224877892
DCs_intratumor_E.Cadherin,699.0,0.6349054685747079,0.4228172398078025
DCs_intratumor_CD44,713.0,0.4654305365020308,0.3343633977568503
DCs_tumorfront_pMAPKAPK2,566.0,0.26621180353307655,0.4647454235569586
DCs_tumorfront_pNFkB,715.0,0.23862172653925845,0.3306420172421325
DCs_tumorfront_Ki67,792.0,0.029781379902110463,0.06298492070516766
DCs_tumorfront_GranzymeB,748.0,0.26485743042047105,0.17613871398694814
DCs_tumorfront_pCREB,744.0,0.22160158384994166,0.19131826938859475
DCs_tumorfront_pERK,614.0,0.9627803424622765,0.8583722940984371
DCs_tumorfront_pSTAT1,557.0,0.3925790152621882,0.403903904554327
DCs_tumorfront_pSTAT3,697.0,0.559568312549621,0.4439183537506475
DCs_tumorfront_pp38,679.0,0.9216852417163222,0.5765951593899503
DCs_tumorfront_VEGF,762.0,0.20023360272609206,0.13004676328414697
DCs_tumorfront_pS6,724.0,0.38435177842850077,0.281732469397338
DCs_tumorfront_CD36,693.0,0.3546985363839392,0.47180670039348704
DCs_tumorfront_E.Cadherin,697.0,0.7936089837302427,0.4439183537506475
DCs_tumorfront_CD44,624.0,0.849441447517435,0.9495118941604849
Fibroblasts_stromal_pMAPKAPK2,800.0,0.021821541871886785,0.051243473690493875
Fibroblasts_stromal_pNFkB,813.0,0.010780805173534094,0.03582136061273188
Fibroblasts_stromal_Ki67,727.0,0.9578119090517742,0.26706132419734063
Fibroblasts_stromal_GranzymeB,779.0,0.20854514073332853,0.08765262409264556
