,Statistic,p-value ttest,p-value mannwhitneyu
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,871.0,0.00039093079344559894,0.005350209261491573
Fibroblasts_tumorfront_aggregatedNeighbors.CD8.T.cells.memory,853.0,0.010903606102317689,0.010355525252790683
Fibroblasts_tumorfront_aggregatedNeighbors.CD8.T.cells.naive,822.0,0.02275967846256682,0.024690134741371904
Fibroblasts_tumorfront_aggregatedNeighbors.DCs,621.0,0.2891236384300085,0.9190214231955542
Fibroblasts_tumorfront_aggregatedNeighbors.Fibroblasts,409.0,0.024052117408506903,0.011212963803094075
Fibroblasts_tumorfront_aggregatedNeighbors.Granulocytes,593.5,0.8791823848784679,0.6607910267897957
Fibroblasts_tumorfront_aggregatedNeighbors.M1.macrophages,925.5,0.006090130496664382,0.0006914058205292846
Fibroblasts_tumorfront_aggregatedNeighbors.M2.macrophages,940.0,0.00047384498677657225,0.0003705933749591887
Fibroblasts_tumorfront_aggregatedNeighbors.Monocytes,624.0,0.1714411833858896,0.9340369222562737
Fibroblasts_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,358.0,0.001385985497779984,0.0017929368517042034
Fibroblasts_tumorfront_aggregatedNeighbors.Tumor.proliferating,677.0,0.8363957819020954,0.5924150128861547
Fibroblasts_tumorfront_aggregatedNeighbors.Vessel,582.0,0.7648688462827471,0.5848552818606441
Granulocytes_stromal_aggregatedNeighbors.Bcells,643.0,0.7538970431685638,0.8795250973444071
Granulocytes_stromal_aggregatedNeighbors.CD4.T.cells.memory,734.0,0.3711896734402037,0.21571381979679638
Granulocytes_stromal_aggregatedNeighbors.CD4.T.cells.naive,708.5,0.23481825070897877,0.33607907594448716
Granulocytes_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,770.0,0.09612346185453698,0.08722510118860623
Granulocytes_stromal_aggregatedNeighbors.CD8.T.cells.memory,607.0,0.11654156165638567,0.7886535370223987
Granulocytes_stromal_aggregatedNeighbors.CD8.T.cells.naive,823.0,0.02395884313114268,0.015357633526549412
Granulocytes_stromal_aggregatedNeighbors.Fibroblasts,682.0,0.3146985569786482,0.5467440610456152
Granulocytes_stromal_aggregatedNeighbors.Granulocytes,651.5,0.9153283014432122,0.7929582475652145
Granulocytes_stromal_aggregatedNeighbors.M1.macrophages,824.5,0.005865637530640577,0.02128369213965171
Granulocytes_stromal_aggregatedNeighbors.M2.macrophages,699.5,0.13965849706725736,0.41103213779832337
Granulocytes_stromal_aggregatedNeighbors.Tumor.non.proliferating,538.5,0.09574272093024999,0.09651068741822137
Granulocytes_stromal_aggregatedNeighbors.Vessel,548.5,0.22333076888445966,0.34689050136823685
Granulocytes_tumorfront_aggregatedNeighbors.Bcells,703.0,0.35619352782706915,0.16803742898767382
Granulocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,768.0,0.241789065691086,0.042412472274505675
