"","Tumor.non.proliferating_intratumor_cellfrequency","Tumor.non.proliferating_stromal_cellfrequency","Tumor.non.proliferating_tumorfront_cellfrequency","Tumor.proliferating_intratumor_cellfrequency","Tumor.proliferating_stromal_cellfrequency","Tumor.proliferating_tumorfront_cellfrequency","Vessel_intratumor_cellfrequency","Vessel_stromal_cellfrequency","Vessel_tumorfront_cellfrequency","Fibroblasts_intratumor_cellfrequency","Fibroblasts_stromal_cellfrequency","Fibroblasts_tumorfront_cellfrequency","CD4.T.cells.naive_intratumor_cellfrequency","CD4.T.cells.naive_stromal_cellfrequency","CD4.T.cells.naive_tumorfront_cellfrequency","CD4.T.cells.memory_intratumor_cellfrequency","CD4.T.cells.memory_stromal_cellfrequency","CD4.T.cells.memory_tumorfront_cellfrequency","CD4.T.cells.regulatory_intratumor_cellfrequency","CD4.T.cells.regulatory_stromal_cellfrequency","CD4.T.cells.regulatory_tumorfront_cellfrequency","B.cells_intratumor_cellfrequency","B.cells_stromal_cellfrequency","B.cells_tumorfront_cellfrequency","CD8.T.cells_intratumor_cellfrequency","CD8.T.cells_stromal_cellfrequency","CD8.T.cells_tumorfront_cellfrequency","Myeloid.M1.macrophages_intratumor_cellfrequency","Myeloid.M1.macrophages_stromal_cellfrequency","Myeloid.M1.macrophages_tumorfront_cellfrequency","Myeloid.M2.macrophages_intratumor_cellfrequency","Myeloid.M2.macrophages_stromal_cellfrequency","Myeloid.M2.macrophages_tumorfront_cellfrequency","Myeloid.Granulocytes_intratumor_cellfrequency","Myeloid.Granulocytes_stromal_cellfrequency","Myeloid.Granulocytes_tumorfront_cellfrequency","Myeloid.DCs_intratumor_cellfrequency","Myeloid.DCs_stromal_cellfrequency","Myeloid.DCs_tumorfront_cellfrequency","Myeloid.Monocytes_intratumor_cellfrequency","Myeloid.Monocytes_stromal_cellfrequency","Myeloid.Monocytes_tumorfront_cellfrequency"
"OC26_002",2314.31192011004,112.838405919771,1445.63866139902,452.691718500684,7.87539436475296,1130.44221506392,1.41318602388215,1696.09898183299,1043.57848260243,-1.91662121044285,126.330523231937,-52.3780105855651,-1.58969316302452,1793.30008116277,838.671794105414,-1.88119218415669,1578.24152934112,972.443998607139,-0.0742972037692345,63.9333998130694,33.3940290727075,1.6055579461495,1208.95981093436,542.682014062412,424.502530129052,2224.16774130417,2477.43528083187,40.6251726141249,548.441085980503,490.719611461795,85.6122878815782,535.772183367898,407.57431958521,22.1432387760277,-14.0038212352252,9.08011045893713,28.0700780569579,55.2200634177477,123.691253595072,58.2951604333989,272.06880982372,555.33502203297
"OC26_003",2356.37410342883,2.96887854498424,1348.53807293795,4884.48810619308,6.287547727494,2076.15231252542,8.44893200306032,1368.88588567153,1045.86587604464,-1.91495695180817,173.904048345822,33.4837550168614,12.5632223250776,1258.96962857852,445.436081913151,12.2798733997978,1766.69195622967,898.872174702896,-0.0715810025681098,78.8713224875883,42.5995241428521,8.75051803554668,1014.61743727825,162.822179900116,799.216738523665,2226.06361938779,1317.64669176799,41.1279868581483,493.297313230306,502.097283254871,86.9455758831265,720.592142063932,340.904574881591,22.0977210220404,2.1219768295228,24.6848127329348,28.4108911536757,59.1424368305956,125.802691315248,59.27421500477,530.579627897486,805.693112977031
"OC27_001",2203.20129907866,22.8202465943915,2034.48963795674,368.110941182569,8.66646923644704,1552.4918919198,2.97116178884792,2834.94880247175,513.01108300215,3.14512799024814,457.945511392065,323.992166310562,-0.675730968945062,1660.80147068877,663.376392659061,-1.18763827932319,351.320401033116,147.791974872305,-0.147753178961506,48.202498976451,9.21146953773851,0.209985935660577,50.4843882442743,-2.73888858668349,-43.3473449275435,55.8964151816114,-62.2917719637944,27.0272410526311,117.865002079637,78.5551160398866,49.5553170791445,508.089768025493,216.92328223925,23.3742047276245,97.0317606351316,28.948754840123,18.8532488234179,42.7137319883999,66.590278087677,31.8179540343464,320.183693616884,57.6518480281976
"OC27_002",2464.41063362978,411.600214150491,2824.87365233271,259.055801347968,8.86408808456575,1257.02842799112,3.01432133126966,3201.91917470572,936.177948230013,-1.96287557476185,223.472941517931,48.4702681299708,2.09877414578739,1591.96606610587,374.916443313228,1.58076101380256,1247.39055874633,209.739820197261,-0.149788080164687,24.0606946116829,12.6704576563815,0.171325349886384,-63.3281410609587,21.3643963333685,9.56265595855509,114.349089555377,-5.8882459295055,26.650546810089,412.313926397929,85.224072363512,51.305641579422,676.944896227085,234.954571929991,23.4083053433796,77.7194637836677,76.7509335899259,18.5979212705374,42.5429817971539,80.5701077362005,31.0844739840717,490.435766026881,113.378574768751
"OC27_003",2484.0404565095,206.577624181931,2462.19515549806,273.897928795204,9.12115827972134,1243.98373134982,3.07046500976778,4476.00127637962,1335.83458417956,-1.96449741507193,13.7736931845115,-66.4546814917762,-0.617476326598819,649.202417243677,203.859147716826,-1.14343212740004,224.76030898109,73.1124832580039,-0.152435149342505,22.8849654662686,11.0191383318023,0.121034261486669,-60.235571355799,-0.988421283729818,0.644051710276859,74.4209456518063,-58.0811294681798,26.1605276139086,69.2884753288455,93.9684218778193,47.2570961992303,478.019245565605,336.902536594665,23.4526646539883,173.632048183017,85.6816318812634,18.2657810514588,42.3208643381578,62.9507434893023,30.1303342435002,157.118458072464,188.940929883414
"OC28_001",3432.40564999737,50.1786189066513,2300.24776170956,108.509509518496,7.87748415479286,505.842120072078,2.7988488094986,676.121804411437,800.719250464305,-1.95665111930371,1209.63436930806,735.668780594941,-0.776815539524736,217.876836771523,132.756772392184,-1.2643456722826,1392.84223689554,1107.24783676729,-0.13962894872397,147.718364279413,119.354918252399,0.364336430820878,841.704240067161,605.165640714055,459.707267914976,1083.66675114889,1719.77745968766,28.5311800773665,244.26591384152,414.854538665326,53.5432359417394,199.784547542015,209.549672910364,23.238059702353,73.6613444132508,34.6707455780332,19.8726346056045,48.5756751274982,83.0880346016324,34.7463451395472,11.4814726275673,91.0562052863973
"OC28_002",3166.57751931538,189.070186519785,3216.99252395376,34.3856737128925,20.4353227399794,510.132936764518,13.5432030469523,2206.00710787462,1047.8909091877,-1.96322802912939,813.401378833727,479.806726883093,-0.643256847236573,216.742770603074,98.3483626935213,-1.16299554629272,1892.5061521412,623.108586374706,-0.150363167357897,242.597611722118,191.741387380726,0.160399522142714,424.828421185879,5.1625067822954,130.69359655221,1097.9052843131,876.735118046857,26.5440922024607,634.655749132659,608.619939055845,48.2741735698912,328.790642364698,218.815780720251,23.4179424885534,98.0211910098609,44.2328680301155,18.5257647763391,73.2024226800406,85.3381896955014,41.3938742261029,88.9378297949399,40.0790587884784
"OC28_003",4481.30287879822,264.516882557814,3183.21270975151,377.324104321475,17.1518789961144,394.417824317883,20.634540291427,986.650062334916,1163.89293370555,15.3972648040157,1773.72145150738,1155.55218312929,-0.502124805687216,554.684456874373,166.525205728073,16.3115444633231,1345.67593926175,568.6402577258,-0.161706104311203,129.28806035949,69.9347706931763,-0.0551019293450693,61.1165246279429,2.47773756735549,109.799146485697,402.788760329232,140.854064866837,24.444331678737,282.109655478091,276.253481316468,42.7063386710872,222.150363109989,180.504096649648,23.6080258114436,111.406922061316,36.6091732547908,17.1025230087445,48.6733087922161,80.4458873108741,26.7886389427338,4.60576680439296,40.0155911384825
"S01_1",2558.45255271367,-9.61811205796141,3195.86201338177,124.326689459775,-9.69758789221289,494.939765503166,13.8220240325862,1605.87852134443,1430.41369830248,1.96813437866553,423.705876095643,270.731747912455,0.543624328876967,278.567117118766,121.266026316776,1.0873900980111,441.099448502472,81.4727571922997,0.158370724112199,49.0111712089515,36.872899235229,-0.00826592350995814,197.843236105527,-1.23073068935023,46.9730763991474,197.306227811711,121.804642014879,-16.5525694802815,645.924732234813,380.373867298373,-27.3251642241328,673.070039842997,348.777329308546,95.576526841346,2353.90626449185,282.70122192548,-0.502643260805914,280.385799557235,358.354725393868,-27.9908658182448,179.15709252409,5.39236075274228
"S01_2",3685.23079294993,-5.22199290702433,3007.70658760966,83.6781742489402,-5.21229169767856,253.248510788222,-3.22540775421964,3098.88611587551,1721.24011418712,1.96897362325684,845.354203784752,432.570757731794,0.526581478239132,270.21283419009,125.566376716253,1.07445724207976,404.784968976939,108.100574664784,0.159740470712245,77.3444667972518,3.34749058574184,0.0177575792620542,148.685484204987,21.5688100079342,64.6578267799044,80.429070516079,141.94734091053,-24.8081955832527,1002.98460358116,463.437367111828,-43.6711815486549,198.971599748967,34.9553549812066,181.996805895166,2503.19425110126,634.680025620573,-17.3491548128247,193.826401773011,30.1467305530722,-18.5592310895741,471.014873771166,95.9255943770575
