,Fold selected features,Fold nb of features
Fold 73,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
Fold 74,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
Fold 75,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.M1.macrophages_intratumor_cellfrequency', 'Myeloid.M1.macrophages_stromal_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",4
Fold 76,"['Tumor.non.proliferating_intratumor_cellfrequency', 'CD4.T.cells.memory_stromal_area']",2
Fold 77,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.DCs_stromal_aggregatedNeighbors.Myeloid.M1.macrophages']",2
Fold 78,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
Fold 79,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
Fold 80,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.Granulocytes_stromal_aggregatedNeighbors.Myeloid.Granulocytes', 'Tumor.non.proliferating_intratumor_area']",3
Fold 81,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
Fold 82,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
Fold 83,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.Monocytes_tumorfront_celldistance']",2
Fold 84,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.DCs_stromal_aggregatedNeighbors.Myeloid.M1.macrophages', 'Tumor.non.proliferating_intratumor_area']",3
Fold 85,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
Fold 86,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
Fold 87,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area', 'CD4.T.cells.memory_stromal_area']",3
Fold 88,"['Tumor.non.proliferating_intratumor_cellfrequency', 'CD4.T.cells.memory_intratumor_cellfrequency', 'Myeloid.M1.macrophages_tumorfront_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",4
Fold 89,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
Fold 90,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area', 'CD4.T.cells.memory_stromal_area', 'CD8.T.cells._intratumor_area']",4
Fold 91,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_pS6', 'Tumor.non.proliferating_intratumor_area']",3
Fold 92,"['Tumor.non.proliferating_intratumor_cellfrequency', 'CD4.T.cells.regulatory_stromal_pS6', 'Myeloid.DCs_stromal_aggregatedNeighbors.Myeloid.M1.macrophages', 'Tumor.non.proliferating_intratumor_area']",4
Fold 93,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
Fold 94,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.M1.macrophages_stromal_cellfrequency', 'Myeloid.Granulocytes_stromal_aggregatedNeighbors.Myeloid.Granulocytes', 'Tumor.non.proliferating_intratumor_area']",4
Fold 95,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.DCs_stromal_aggregatedNeighbors.Myeloid.M1.macrophages', 'Tumor.non.proliferating_intratumor_area']",3
Fold 96,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area', 'CD8.T.cells._intratumor_area']",3
Fold 97,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.M1.macrophages_tumorfront_cellfrequency', 'Myeloid.DCs_stromal_aggregatedNeighbors.Myeloid.M1.macrophages', 'Tumor.non.proliferating_intratumor_area']",4
Fold 98,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
Fold 99,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
