"","B cells_area","CD4 T cells memory_area","CD4 T cells naive_area","CD4 T cells regulatory_area","CD8 T cells_area","Fibroblasts_area","Myeloid DCs_area","Myeloid Granulocytes_area","Myeloid M1 macrophages_area","Myeloid M2 macrophages_area","Myeloid Monocytes_area","Tumor non-proliferating_area","Tumor proliferating_area","Vessel_area","B cells_eccentricity","CD4 T cells memory_eccentricity","CD4 T cells naive_eccentricity","CD4 T cells regulatory_eccentricity","CD8 T cells_eccentricity","Fibroblasts_eccentricity","Myeloid DCs_eccentricity","Myeloid Granulocytes_eccentricity","Myeloid M1 macrophages_eccentricity","Myeloid M2 macrophages_eccentricity","Myeloid Monocytes_eccentricity","Tumor non-proliferating_eccentricity","Tumor proliferating_eccentricity","Vessel_eccentricity","B cells_celldistance","CD4 T cells memory_celldistance","CD4 T cells naive_celldistance","CD4 T cells regulatory_celldistance","CD8 T cells_celldistance","Fibroblasts_celldistance","Myeloid DCs_celldistance","Myeloid Granulocytes_celldistance","Myeloid M1 macrophages_celldistance","Myeloid M2 macrophages_celldistance","Myeloid Monocytes_celldistance","Tumor non-proliferating_celldistance","Tumor proliferating_celldistance","Vessel_celldistance"
"OC04_003","44.4736842105263","48.4","50.5652173913044","50.8571428571429",52.6296296296296,48.0102996254682,"76.4","33.2",50.8411214953271,"27.25",44.9411764705882,87.0211102423769,"58.0769230769231",55.0344370860927,"0.56896820782742","0.57775374557459","0.616497365712444","0.731347659664351",0.632176223661384,0.647807504432052,"0.521039846710478","0.51842129217175",0.628532719069944,"0.569977682832647",0.588911282947087,0.645645969736047,"0.70087963678287",0.633780374882754,"-78.0446727894737","-53.924906436","-41.9312383913043","-26.242548",-22.9349590740741,-46.1698030717041,"-24.694763","16.420412",-37.0789273542056,"-25.113570375",-42.9952927411765,24.8051345349961,"21.9052647692308",-46.5338668457099
"OC05_001","44.7634703196347","41.8952536824877","42.8695652173913","33.4375",45.1510067114094,29.910843373494,"40.8333333333333","25.9230769230769",40.5924170616114,"37.15625",42.0789473684211,72.5758241758242,"85.008",42.1003996003996,"0.601156314533762","0.600680569505366","0.604332894245052","0.651075201987282",0.605158219823767,0.671746028690016,"0.667870547706404","0.636943644862875",0.620939221694334,"0.625643714405879",0.658215266549239,0.651730269451565,"0.644580125500317",0.605183595301451,"-53.75125008641","-48.8787126788871","-50.0317712547826","-32.5538706434375",-61.1100909961969,-24.9420605609639,"-25.2798153333333","-28.1594945384615",-28.4323498685308,"-41.047803115625",-40.1752333618421,8.22621501362637,"8.1903181768",-39.0561466513586
"OC05_002","42.9943074003795","31.453125","33.1991341991342","26.1363636363636",40.8494897959184,25.1552795031056,"39","32.1304347826087",42.8770053475936,"36.3953488372093",33.3815789473684,76.8074398249453,"85.5232558139535",40.5391351943076,"0.587196447700307","0.619757103560118","0.633465792693915","0.685218093289309",0.599181420910626,0.684616553497451,"0.587546124602914","0.651879574344465",0.592932085221348,"0.645620401551937",0.597974680388054,0.667254904359369,"0.706459706858488",0.612610529555551,"-204.307596488552","-72.1178431778125","-72.7581295929178","-72.8457692772727",-80.197238890051,-63.021684753323,"-124.851783333333","-117.623975173913",-108.701913887968,"-71.4498701186047",-107.390128394092,19.361317537965,"14.3761520581395",-95.4599498594417
"OC05_003","39.1428571428571","38.9268292682927","45.8222222222222","44.4237288135593",44.2635135135135,40.9363184079602,"50.3793103448276","45.2075471698113",58.906309751434,"43.5769230769231",39.8571428571429,80.8996372430472,"71",50.6252045826514,"0.698927624269","0.617907208544527","0.609331754319415","0.612129475446608",0.637726668532966,0.640114281463793,"0.588796235079975","0.594289082301124",0.624812698032124,"0.618277365866714",0.595818419042977,0.659387432144664,"0.676669304407099",0.636883087886141,"-33.6934728571429","-29.7644761039024","-31.6375858555556","-29.1097805254237",-25.3071541939189,-25.8704108679801,"-18.8679084793103","-13.5041683132075",-26.8217909529637,"-26.71840285",-16.3442921190476,8.27228520548368,"12.123372",-24.5840752222586
"OC06_001","59.5846774193548","59.1868686868687","67.4152866242038","47.4",63.5149625935162,50.3876404494382,"68.4444444444444","61.1034482758621",73.3945578231292,"67.1218274111675",67.6808510638298,111.155555555556,"125.383561643836",73.4108713029576,"0.587298570025391","0.634286667238822","0.615102734977041","0.698356860952653",0.607541948541901,0.670435904267354,"0.628404269957425","0.607984466474829",0.624053057137666,"0.624725340201129",0.627609723712745,0.670840916823655,"0.630145520068342",0.621408335141201,"-102.185493806452","-118.714117420202","-135.273137333707","-76.45464",-138.893495923441,-260.344943314607,"-74.4842731277778","-168.080694456897",-89.8465979462585,"-139.993008546193",-109.102802214894,26.7504688214127,"21.3063489315069",-160.922523915268
"OC06_002","66.0196078431373","57.0140845070423","65.2555910543131","56.1818181818182",66.7655172413793,59.9137931034483,"75.9","59.5342465753425",66.1453744493392,"71.8225806451613",68.5773195876289,103.673575129534,"107.981818181818",72.0670826833073,"0.621095356278888","0.625337338889716","0.6245873550205","0.6082792831539",0.618315358953344,0.625220628965565,"0.636979495233213","0.647047932742902",0.600604641266968,"0.667056690900999",0.609217385388522,0.643743940211943,"0.65018807924338",0.626671179140068,"-64.4706345620915","-48.659929556338","-47.1575131118211","-39.5062709090909",-41.6369360212184,-37.1565830672414,"-20.0925310533333","-59.4369586410959",-38.9551798588987,"-45.4383620789516",-27.9968698675258,16.1113143157766,"15.0808493636364",-37.9254164729641
"OC06_003","49.7777777777778","45.9444444444444","61.5208711433757","114",55.2403846153846,55.9432176656151,"85.8333333333333","55.8292682926829",59.8823529411765,"54.0877192982456",60.525641025641,60.0714285714286,"67.8",66.7488479262673,"0.569278762015792","0.615191602623594","0.58155155045615","0.729191018972383",0.599536480587649,0.608699116590935,"0.679041366206069","0.592575806927584",0.584190396299059,"0.595245465467918",0.61507345732047,0.628706180463806,"0.688490880666725",0.601223687491151,"-167.994186","-231.03631","-234.8978970951","-392.1215",-190.116869566346,-283.736804548896,"-215.06825","-223.499981138211",-194.560758775294,"-229.428844929825",-221.05027174359,8.36164931428571,"23.303396",-222.99346864977
"OC07_001","45.0909090909091","40.3698630136986","40.25","34.3333333333333",62.25,39.6409055425449,"43.75","34.2105263157895",42.6511627906977,"37.3333333333333",30.75,78.3621837549933,"79.2857142857143",49.5860012554928,"0.651839238771736","0.570016678990601","0.61636775333249","0.551808083295652",0.641981486998498,0.614387547028338,"0.726750763848962","0.6380182620935",0.602992417396984,"0.702287852642568",0.594763516533404,0.638108048582142,"0.65396785396615",0.586220264993589,"-34.4726606363636","-110.556378428767","-118.712082171875","-66.0813973333333",-69.69788795,-126.776196311553,"-75.729505","-86.2020578947368",-90.1008490465116,"-102.79497",-120.3585275,28.1966346308921,"28.3957079642857",-130.000567314281
"OC07_002","48.0204081632653","44.7297297297297","48.6","46.5",50.6346153846154,50.6279069767442,"54.4","44.5507246376812",54.5965250965251,"51.6086956521739",43.6153846153846,95.816393442623,"74.1111111111111",54.1566765578635,"0.575070483872562","0.611852378301655","0.611913131186439","0.64086661995692",0.601947936264077,0.631481779015227,"0.602304681371193","0.562600252396419",0.5930980689217,"0.616450637514479",0.620442491482188,0.652476265314407,"0.588963752183168",0.604049823636399,"-195.005005986395","-189.043870945946","-192.511862235294","-209.182345",-175.391445192308,-198.602042474502,"-163.3525115","-203.411318985507",-198.567874189189,"-198.184946521739",-211.829055384615,29.0088293202623,"15.3678038888889",-204.820547758635
"OC07_003","38.25","34.1151079136691","37.0454545454545","28.5384615384615",45,33.9288506645817,"33.3571428571429","32.986301369863",36.2534818941504,"35.9333333333333",35.6865671641791,87.8878406708595,"104.181818181818",38.4302134646962,"0.686711264535118","0.601985417223513","0.60994985578699","0.634328507191763",0.685099755937835,0.627472745012803,"0.539776349721303","0.591554166730971",0.600333287364596,"0.639793468125768",0.60964413994894,0.665781373850851,"0.67239734056182",0.599014937287106,"-198.3868775","-221.311016273381","-214.198077109091","-219.633648384615",-149.93457,-179.418958801486,"-182.006554285714","-202.838970452055",-202.327303688022,"-184.407980233333",-200.332236716418,23.2374141436897,"24.0448430909091",-181.795703492414
"OC08_001","35.5294117647059","38.169014084507","40.1098901098901","34.7826086956522",44.7831325301205,34.4484848484848,"22.5","76",43.9452054794521,"40.5",39.9523809523809,73.5135782747604,"73.3676470588235",43.5850622406639,"0.52156604795494","0.61289737598125","0.602802501889487","0.609680700660508",0.607360843307882,0.643205868999293,"0.573182745117934","0.597194560207186",0.664628502666124,"0.641926279978344",0.619743433322695,0.629965417983622,"0.608605077883914",0.635818430608846,"-100.013819411765","-61.4251253976526","-65.0223161428571","-71.3297510869565",-49.754005426506,-47.8103314148485,"-77.18649","-125.91205",-52.2674815594521,"-77.492634",-42.5412663285714,30.4493431720296,"20.0848484117647",-44.7994407016597
"OC08_002","39.2857142857143","40.1958041958042","47.7894736842105","40.5294117647059",37.969696969697,47.5333333333333,"39.1666666666667","21",43.9677419354839,"43.8571428571429",45.7222222222222,78.9412550066756,"82.3846153846154",46.5632911392405,"0.663864534400468","0.601890341376835","0.623829007563262","0.570996741284244",0.611264517248172,0.645962442504694,"0.628185954980314","0.680803728423753",0.607551048641365,"0.59760847966893",0.644766333251101,0.60973780830593,"0.643092333286859",0.620306820098984,"-55.6151385714286","-50.2180202671329","-54.1539641859649","-32.8536181764706",-41.4376749590909,-32.7291299483,"-107.920068333333","-45.89791",-34.4232899637097,"-21.5959457142857",-28.0106822633333,19.3881820073097,"0.21641676923077",-34.325685536076
"OC08_003","41.6666666666667","38.1525423728814","38.2469135802469","20.7142857142857",37.3882352941176,34.7751756440281,"53","0",39.5675675675676,"38.85",42.6666666666667,65.0268931351734,"62.2037037037037",37.5949367088608,"0.569666751896696","0.619164331274102","0.611215140442982","0.657729510533401",0.680960895143775,0.664856246757683,"0.531030608222127","0",0.657444379462601,"0.686086137016694",0.621180938763745,0.611502311300555,"0.603997718668527",0.629554469092329,"-59.73667","-42.5007140107345","-44.185059507037","-46.8813457142857",-18.0277109411765,-39.5297092500468,"-9.286933","0",-36.7795485975676,"-56.0156841",-15.8512687222222,43.4240778354689,"25.9771760925926",-46.4184172151899
"OC09_001","61.6274509803922","65.8235294117647","58.9516129032258","58",65.2692307692308,63.956106870229,"66.9253731343284","55",53.8064516129032,"64.3513513513514",46.8095238095238,99.5670261941448,"64.6",70.2078488372093,"0.598322785292304","0.653802464071127","0.645239868745337","0.616816868282802",0.622433014957531,0.641265496114923,"0.645118675911374","0.682861160767624",0.619495984282433,"0.594774142030909",0.627531299829888,0.634896097707644,"0.584326763050295",0.638635648969857,"-58.1600162745098","-65.9548679852941","-64.5031122629032","-69.8267774444444",-53.2409162533916,-68.737009633292,"-77.7130276761194","-73.3717283333333",-83.1285332580645,"-82.3219557837838",-63.8168787619048,32.7415447640986,"58.7290434",-68.5636634623547
"OC09_002","54.0666666666667","67.9803921568627","67.2413793103448","84.5",66.2479338842975,70.3359073359073,"68.7058823529412","51",64.1481481481482,"77.0714285714286",58.5833333333333,105.171162790698,"76.5555555555556",71.9842931937173,"0.566773118457503","0.629946790795849","0.646250812889024","0.680889604603083",0.62810865514406,0.662301007690378,"0.611791314898071","0.537599553270238",0.636020482969081,"0.628157568240262",0.592294614556631,0.6270660664453,"0.612562347483648",0.648653295838692,"-52.54801296","-55.0076490490196","-52.2617284137931","-44.744895",-32.9284456975207,-49.1318579653282,"-56.2340904117647","-69.9233256666667",-60.0124013703704,"-67.9033857142857",-38.694850175,28.3467955505951,"18.373527",-42.8763981172251
"OC09_003","58.14","59.696","62.2631578947368","39.25",55.7115384615385,53.7340267459138,"53.8095238095238","43.625",50.1467889908257,"46.0769230769231",47.1,96.4846671652954,"102.076923076923",60.2630792227205,"0.62625855418608","0.608415718675302","0.629978203507307","0.643292171089716",0.613284540501435,0.608897672903398,"0.64068264827731","0.635719554306051",0.607769523850079,"0.59272639331279",0.636778250381155,0.636605900178689,"0.613160705736471",0.621853482004041,"-54.0226261726667","-42.3669072","-43.4127469210526","-42.877997",-33.1791621730769,-41.6042669347697,"-31.4193339761905","-31.6720954375",-46.5432681743119,"-46.9418674615385",-39.05337854,29.2970432680232,"43.4515030769231",-40.6324714538117
"OC10_001","61.9602649006623","62.3529411764706","54.875","62.6666666666667",63.0185185185185,61.781954887218,"72.9387755102041","89.3571428571429",72.7311827956989,"68.3333333333333",66.6744186046512,91.0245614035088,"26",71.641095890411,"0.620672362927052","0.59787930036206","0.57029453721649","0.675490619717586",0.607778042612678,0.64640752171263,"0.638085692581581","0.576497964680461",0.651945412003413,"0.575112811723489",0.663383369228922,0.628396685667869,"0.541487171197655",0.631642170706698,"-74.3280428476821","-65.7788404411765","-57.10062375","-49.8724266666667",-44.2079742962963,-35.5929041879699,"-53.9370612653061","-33.3689955",-36.8054692301075,"-62.1447566666667",-39.8676401348837,26.6568177930927,"13.15267",-31.5628655567123
"OC10_002","54.25","61.1363636363636","61.5263157894737","0",61.5428571428571,64.0576923076923,"38.4","84.5",58.3181818181818,"64.2857142857143",59.4838709677419,92.1208997188379,"0",63.6009615384615,"0.541488793846474","0.621211477090716","0.559773988759065","0",0.65963559549097,0.64968873883456,"0.529932549047122","0.554495911804589",0.612778461277653,"0.597746699324955",0.622718654673181,0.619969949483531,"0",0.619938234174031,"-40.0201275","-24.1654689090909","-32.9803105789474","0",-14.5874871142857,-16.0964755302885,"-24.775046","-34.85718",-33.2350625,"-33.8491968571429",-25.4749383870968,22.4883583768496,"0",-19.8479941317308
"OC10_003","0","0","0","0",73.2666666666667,63.7362637362637,"27","54",64.3333333333333,"0",30,104.609366391185,"142.5",66.4933333333333,"0","0","0","0",0.529106850434566,0.664065546051118,"0.710351703813714","0.612489592820627",0.586129746415518,"0",0.712512838194086,0.615314920693284,"0.63060410984001",0.627329882313952,"0","0","0","0",23.7078294666667,-12.5388695934066,"-9.438041","-17.11484",-13.3415603333333,"0",21.63483,46.4407935155758,"21.159696",-13.7060625326667
"OC11_001","40.4","58.3571428571429","57.6521739130435","63.5",63.4,63.1457345971564,"0","64",44.5,"63.3333333333333",26,132.943511450382,"60.5",61.2496453900709,"0.651925372536128","0.552307125923247","0.595594842993407","0.78709289788646",0.613755827237381,0.627503902064528,"0","0.675926785957453",0.505036573530783,"0.65604080212807",0.572057859436134,0.650963027449614,"0.808080101817962",0.623898933565028,"-136.797932","-135.376145785714","-131.508849256522","-54.219215",-36.5579665777778,-158.502057297773,"0","-434.0412",-106.18241575,"-152.322806666667",-111.262880714286,48.0246834892443,"39.701265",-166.849404594894
"OC11_002","49.6666666666667","49.6521739130435","66.2608695652174","41",56.1724137931034,58.1443406022845,"0","53",46.4736842105263,"52",42.3333333333333,85.7919463087248,"37",55.5781710914454,"0.651507271812519","0.619494115103005","0.671471313849208","0.517586568980567",0.642081289682361,0.631768232669618,"0","0.564975495451439",0.622516583568514,"0.711185157453983",0.60616859463424,0.646810705395231,"0.897929040822231",0.626669377718106,"-120.897423533333","-102.263134782609","-113.182820391304","-108.6293",-91.4452469224138,-110.350685543302,"0","-88.20902",-49.955144,"-32.823658",-117.672460833333,26.3504568254111,"15.2308",-80.5830409023599
