"","B cells_area","CD4 T cells memory_area","CD4 T cells naive_area","CD4 T cells regulatory_area","CD8 T cells_area","Fibroblasts_area","Myeloid DCs_area","Myeloid Granulocytes_area","Myeloid M1 macrophages_area","Myeloid M2 macrophages_area","Myeloid Monocytes_area","Tumor non-proliferating_area","Tumor proliferating_area","Vessel_area","B cells_eccentricity","CD4 T cells memory_eccentricity","CD4 T cells naive_eccentricity","CD4 T cells regulatory_eccentricity","CD8 T cells_eccentricity","Fibroblasts_eccentricity","Myeloid DCs_eccentricity","Myeloid Granulocytes_eccentricity","Myeloid M1 macrophages_eccentricity","Myeloid M2 macrophages_eccentricity","Myeloid Monocytes_eccentricity","Tumor non-proliferating_eccentricity","Tumor proliferating_eccentricity","Vessel_eccentricity","B cells_celldistance","CD4 T cells memory_celldistance","CD4 T cells naive_celldistance","CD4 T cells regulatory_celldistance","CD8 T cells_celldistance","Fibroblasts_celldistance","Myeloid DCs_celldistance","Myeloid Granulocytes_celldistance","Myeloid M1 macrophages_celldistance","Myeloid M2 macrophages_celldistance","Myeloid Monocytes_celldistance","Tumor non-proliferating_celldistance","Tumor proliferating_celldistance","Vessel_celldistance"
"S04_2","50.1818181818182","44.2042253521127","46.28","45.2380952380952","47.5140845070423",42.875,"52.6984126984127","60.8619047619048",60.7962085308057,51.3173431734317,"52.1565217391304",98.3365853658537,"129.131578947368",49.7382739212008,"0.562797464242424","0.548360517605634","0.589559172","0.646773080952381","0.576476777464789",0.622309170588235,"0.586383384126984","0.620279191190476",0.64567364549763,0.619531430627306,"0.621831799130435",0.656774915853659,"0.632871872368421",0.636204067542214,"-133.7253084","-124.383073197183","-129.380036626667","-158.182605714286","-120.315176420423",-126.889082995221,"-72.9715597888889","-72.2388537526905",-67.8164135739336,-97.9125048045019,"-105.177163217391",25.8034664090244,"55.1305886842105",-118.709353248901
"S04_3","49.7906976744186","54.921875","54.4810126582278","50.6538461538462","53.3677042801556",37.15,"63.7666666666667","53.9727891156463",57.5323741007194,54.5798611111111,"41.5555555555556",103.808510638298,"104.903225806452",58.081053698075,"0.607906011627907","0.592763497152778","0.584491740506329","0.587235269230769","0.59062875848249",0.6233100925,"0.634642773333333","0.600128740816327",0.603937971942446,0.624566256944444,"0.548861955555556",0.652330584160757,"0.657700735483871",0.604654417831814,"-154.125698139535","-147.681338836146","-157.702378341772","-139.243028076923","-142.593547564202",-97.64190125,"-74.4737136666667","-71.1496263880272",-85.5912947136691,-105.093671203854,"-87.3342631111111",43.8197073415603,"22.7394714516129",-116.609935147315
"S05_1","44.3676470588235","38.6951871657754","38.3846153846154","42.8372093023256","37.9494382022472",41.1752577319588,"52.5111111111111","43.1529411764706",50.0633946830266,46.9296636085627,"47.9882352941176",95.7466863033873,"85.6966292134831",48.2642405063291,"0.607655611764706","0.596484009090909","0.621434338461539","0.599150576744186","0.575760094382022",0.620491984536082,"0.598834617777778","0.618007758823529",0.619262054805726,0.614595144525994,"0.607795550588235",0.658478891546392,"0.659198116853933",0.627460184651899,"-160.899138220588","-114.42859971123","-131.309382307692","-69.3445092627907","-122.349091155056",-70.7063869347079,"-19.4803484888889","-111.617546141176",-75.4856954990593,-82.7434504587156,"-49.2270320823529",29.7438298979381,"21.7932986404494",-83.7201883072785
"S05_2","32.6666666666667","37.4333333333333","23.6666666666667","45","38",53.6910197869102,"44.75","29.047619047619",48.2477876106195,45.0714285714286,"51.603305785124",81.5865384615385,"91.4252873563218",57.4852607709751,"0.433510666666667","0.619840386666667","0.559635766666667","0.73303036","0.569890056164384",0.666728527245053,"0.70331775","0.663316211904762",0.646742852212389,0.621249463095238,"0.628413583471074",0.647816904230769,"0.647088440804598",0.639034959863946,"-130.099813333333","-71.7290567","-67.1284733333333","-95.280922","-103.363327339726",-28.8062089311568,"-53.928825875","-115.168698666667",-51.9339518566372,-65.987122127381,"-29.6435465768058",5.37477272615385,"2.91326758793103",-35.6636404414966
"S05_3","55.9333333333333","54.6428571428571","53.5714285714286","57","56.5485714285714",47.0789473684211,"59.4031007751938","53.1899109792285",61.8217821782178,58.9885931558935,"66.5714285714286",160.947183098592,"119.9",64.701724137931,"0.560662978666667","0.598480706632653","0.515970835714286","0.556525326666667","0.571870392",0.601790134210526,"0.588032358914729","0.585260484154303",0.591135495445545,0.587456978707224,"0.567815814285714",0.610949813732394,"0.59607826",0.622480517862069,"-355.291051733333","-246.001320153061","-239.56327","-143.814869466667","-279.523882051429",-347.921043078947,"-342.758625542636","-326.961180890208",-310.216673672079,-210.343969515932,"-84.7313128571429",30.3552550229577,"-21.8259146",-244.367918608621
"S06_1","0","61.0714285714286","0","72","74.5966386554622",50.3684210526316,"72.7464788732394","64.68",74.3396226415094,70.1219512195122,"49",105.963020030817,"119.714285714286",66.6626180836707,"0","0.588455207142857","0","0.5057121","0.568685924369748",0.654691157894737,"0.618568063380282","0.558112444",0.581410125471698,0.568672667073171,"0.2707205",0.640499811132512,"0.569885814285714",0.640080741430499,"0","-39.285237","0","-8.415365","0.0761210184873948",-79.5934671754386,"-10.3187165352113","-28.17878884",-13.9066974646226,-29.0841421484756,"-21.05845",38.8314276096225,"31.2704083333333",-33.4827794140891
"S06_2","57.6666666666667","64.4705882352941","0","75","67.6026490066225",50.8793103448276,"73.4657534246575","59.0123456790123",69.6,68.0884955752212,"67",116.552106430155,"96.1578947368421",66.369109947644,"0.6534681","0.585484495798319","0","0.60532855","0.562932903311258",0.624623681034483,"0.643940039726027","0.573629291358025",0.641193598888889,0.60868174159292,"0.560014533333333",0.625285907427938,"0.634002705263158",0.622780832984293,"-40.5735755555556","-39.6644262689076","0","-35.94502","-24.7275558013245",-67.8777953448276,"-14.0165798767123","-41.4400137160494",-15.7533291911111,-42.984426939646,"-87.30468",36.5672475581818,"29.7686487894737",-52.4769236934555
"S06_3","27.7333333333333","24.0909090909091","0","35","38.1492537313433",32.7743300423131,"33.9375","28.1612903225806",51.6029411764706,36.6136363636364,"33.6153846153846",86.6798886569241,"99.3933333333333",38.0030395136778,"0.427136553333333","0.5965247","0","0.6028357","0.579231394776119",0.673916504809591,"0.59271769375","0.628346612903226",0.660581785294118,0.6125903675,"0.631142646153846",0.605573727439109,"0.610046172666667",0.705476380243161,"-45.3189950666667","-43.7526581818182","0","-30.12876","-24.0586843059702",-36.5433594713681,"-25.9498838125","-46.7379640967742",-12.7644213904412,-30.4182878159091,"-27.7689757346154",24.179896424636,"25.0207229853333",-30.6365746825228
"S07_1","0","34","42","0","72.375",51.95,"52.5","45.6666666666667",50.5,57.8,"44.4",93.5554272517321,"110.069158878505",61.0386266094421,"0","0.57375945","0.729415","0","0.6373322",0.643973353462963,"0.728782983333333","0.490614333333333",0.71570084,0.627960452,"0.71280328",0.655671126558891,"0.678164837943925",0.64697914806867,"0","-29.130565","-27.5731","0","-7.118023875",-14.288938702963,"-17.8123893333333","2.42700233333333",-5.7801493,-5.695072904,"-11.93080684",4.41668445531178,"3.78871217100935",-15.4498173562232
"S07_2","43.4623655913978","41.2178217821782","46.1948717948718","46.625","38.640243902439",46.2130672674606,"40.2608695652174","29.1666666666667",46.0635696821516,37.8541666666667,"34.9375",65.4569536423841,"78.3466666666667",46.2313883299799,"0.609266368817204","0.610847474257426","0.626688498461539","0.6008980375","0.607569096341463",0.619150334081107,"0.70980367826087","0.5432401",0.632430077017115,0.632939296875,"0.6170930375",0.696396729139073,"0.684804881333333",0.614894404024145,"-155.891268612903","-74.9051492257426","-82.2269281810256","-64.648272","-64.8218795713415",-120.538316510621,"-25.7541146086957","-82.9493983333333",-128.477387015648,-123.053048775208,"-120.50485125",8.9921598602649,"4.86695959253333",-138.525119521328
