,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.Monocytes,604.5,0.00625,0.27268637868955536,0.28207791905653623,
Fibroblasts_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,697.5,-0.027036591880341854,0.3624985267932249,0.35601110388927293,
Fibroblasts_tumorfront_aggregatedNeighbors.Tumor.proliferating,601.0,0.0073717948717948725,0.4495747109743179,0.45556330289412494,
Fibroblasts_tumorfront_aggregatedNeighbors.Vessel,523.5,0.03487580128205131,0.24271844369552104,0.19763423196579322,
Fibroblasts_tumorfront_aggregatedNeighbors.Fibroblasts,658.0,-0.01989182692307695,0.6003696518566526,0.6898916690736618,
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,579.5,0.022796474358974368,0.2861720537013333,0.41904513159647083,
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,627.5,-0.0034855769230769246,0.8330568823121647,0.9521329885558671,
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,624.0,0.0,,1.0,
Fibroblasts_tumorfront_aggregatedNeighbors.B.cells,604.5,0.003125,0.27268637868955536,0.28207791905653623,
Fibroblasts_tumorfront_aggregatedNeighbors.CD8.T.cells,665.5,-0.015985576923076925,0.2813643403148533,0.3595479116238194,
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,640.0,-0.002564102564102564,0.36880093530570335,0.3802071371873732,
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,621.0,-0.002003205128205128,0.7527657189220586,0.9197152449800883,
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,585.0,0.0109375,0.15060323120657537,0.12061359820423907,
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.DCs,604.5,0.003125,0.27268637868955536,0.28207791905653623,
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,621.0,-0.002003205128205128,0.7527657189220586,0.9197152449800883,
CD4 T cells naive_stromal_aggregatedNeighbors.Tumor.non.proliferating,624.0,0.0,,1.0,
CD4 T cells naive_stromal_aggregatedNeighbors.Vessel,550.5,0.04457131410256411,0.18140508195034008,0.34421954744477146,
CD4 T cells naive_stromal_aggregatedNeighbors.Fibroblasts,661.5,-0.021875000000000033,0.6058457463499889,0.641638164993781,
CD4 T cells naive_stromal_aggregatedNeighbors.CD4.T.cells.naive,667.0,-0.012820512820512844,0.6406633455511994,0.5729392799850395,
CD4 T cells naive_stromal_aggregatedNeighbors.CD4.T.cells.memory,642.5,-0.006129807692307698,0.7819235925597008,0.7871547950540467,
CD4 T cells naive_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,624.0,0.0,,1.0,
CD4 T cells naive_stromal_aggregatedNeighbors.B.cells,624.0,0.0,,1.0,
CD4 T cells naive_stromal_aggregatedNeighbors.CD8.T.cells,694.0,-0.025854700854700846,0.20388523664074454,0.2318313245248227,
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,604.5,0.00625,0.27268637868955536,0.28207791905653623,
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,640.0,-0.005128205128205128,0.3688009353057031,0.3802071371873732,
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.Granulocytes,565.5,0.025,0.06769119560119563,0.05447147882826403,
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.DCs,624.0,0.0,,1.0,
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.Monocytes,640.0,-0.002564102564102564,0.3688009353057031,0.3802071371873732,
CD4 T cells naive_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,538.5,0.025140224358974353,0.39581496413088646,0.25744740258986676,
CD4 T cells naive_tumorfront_aggregatedNeighbors.Tumor.proliferating,604.5,0.00625,0.27268637868955536,0.28207791905653623,
CD4 T cells naive_tumorfront_aggregatedNeighbors.Vessel,532.5,0.03679887820512823,0.18227958040231818,0.23345413785664226,
CD4 T cells naive_tumorfront_aggregatedNeighbors.Fibroblasts,679.0,-0.03790064102564103,0.33256117301708066,0.46836354267052893,
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,578.5,0.013741987179487186,0.5464503944526605,0.5408056101057848,
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,655.0,-0.010496794871794862,0.5859491490246609,0.6197563445731235,
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,624.0,0.0,,1.0,
CD4 T cells naive_tumorfront_aggregatedNeighbors.B.cells,640.0,-0.002564102564102564,0.36880093530570346,0.3802071371873732,
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD8.T.cells,791.0,-0.049198717948717954,0.014317974390526591,0.009950052693441017,
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,565.5,0.0125,0.06769119560119556,0.05447147882826403,
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,624.0,0.0,,1.0,
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,620.5,0.0011217948717948721,0.8889639026399442,0.903720146355588,
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.DCs,624.0,0.0,,1.0,
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,640.0,-0.002564102564102564,0.36880093530570335,0.3802071371873732,
CD4 T cells memory_stromal_aggregatedNeighbors.Tumor.non.proliferating,624.0,0.0,,1.0,
CD4 T cells memory_stromal_aggregatedNeighbors.Vessel,621.5,0.008493589743589727,0.777466957191125,0.9781831557284677,
CD4 T cells memory_stromal_aggregatedNeighbors.Fibroblasts,650.0,-0.0076121794871795295,0.8325928603518764,0.7449282196008895,
CD4 T cells memory_stromal_aggregatedNeighbors.CD4.T.cells.naive,651.0,-0.01626602564102564,0.5184052012001026,0.7102783443961451,
CD4 T cells memory_stromal_aggregatedNeighbors.CD4.T.cells.memory,623.0,0.007705662393162407,0.782969682150202,0.9948586100964999,
CD4 T cells memory_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,624.0,0.0,,1.0,
CD4 T cells memory_stromal_aggregatedNeighbors.B.cells,640.0,-0.005128205128205128,0.36880093530570335,0.3802071371873732,
CD4 T cells memory_stromal_aggregatedNeighbors.CD8.T.cells,677.5,-0.01766826923076925,0.4428321091707328,0.4419475611232616,
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,565.5,0.018750000000000003,0.051680569899679375,0.05442148641158968,
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,624.0,0.0,,1.0,
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.Granulocytes,565.5,0.018750000000000003,0.051680569899679375,0.05442148641158968,
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.DCs,624.0,0.0,,1.0,
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.Monocytes,604.5,0.003125,0.27268637868955536,0.28207791905653623,
CD4 T cells memory_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,585.0,0.018249198717948695,0.552907515437697,0.6005230315678979,
CD4 T cells memory_tumorfront_aggregatedNeighbors.Tumor.proliferating,604.5,0.003125,0.27268637868955536,0.28207791905653623,
CD4 T cells memory_tumorfront_aggregatedNeighbors.Vessel,478.5,0.042628205128205136,0.07807897700871604,0.0454159795568351,
CD4 T cells memory_tumorfront_aggregatedNeighbors.Fibroblasts,608.5,0.018669871794871812,0.6241279238860422,0.8467866976423283,
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,642.0,-0.006991185897435893,0.6935607420354568,0.7557117130723371,
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,718.0,-0.02988782051282051,0.16713117470677036,0.1749664960943862,
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,624.0,0.0,,1.0,
CD4 T cells memory_tumorfront_aggregatedNeighbors.B.cells,624.0,0.0,,1.0,
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD8.T.cells,765.5,-0.04969951923076925,0.018700158313752463,0.028582470218943452,
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,601.0,0.0073717948717948725,0.4495747109743179,0.45556330289412494,
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,624.0,0.0,,1.0,
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,620.0,0.009715544871794872,0.5071775110241443,0.8877835284523669,
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.DCs,624.0,0.0,,1.0,
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,565.5,0.014062499999999999,0.08039717318672913,0.05447147882826403,
CD4 T cells regulatory_stromal_aggregatedNeighbors.Tumor.non.proliferating,640.0,-0.003205128205128205,0.36880093530570346,0.3802071371873732,
CD4 T cells regulatory_stromal_aggregatedNeighbors.Vessel,521.0,0.0295673076923077,0.4767279745647851,0.1842539282635718,
CD4 T cells regulatory_stromal_aggregatedNeighbors.Fibroblasts,655.0,-0.020219017094017105,0.7289199443769905,0.6947064769206768,
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD4.T.cells.naive,619.0,-0.00633012820512821,0.8097855985341669,0.9418332317389632,
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD4.T.cells.memory,674.5,-0.019898504273504272,0.47915677449126814,0.5240533461968909,
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,624.0,0.0,,1.0,
